"";"party";"content";"target";"stance"
"66";"swe: Liberal People’s Party";"Kvaliteten måste höjas";"integration";"FAVOR"
"67";"swe: Liberal People’s Party";"2. NYSTARTJOBB BLIR STARTJOBB FÖR ARBETSLÖSA i syfte att ge dem en direkt möjlighet att komma in på arbetsmarknaden.";"integration";"FAVOR"
"68";"swe: Liberal People’s Party";"i syfte att öppna arbetsmarknaden för alla.";"integration";"FAVOR"
"69";"swe: Liberal People’s Party";"Skadeståndsbeloppet vid all arbetsmarknadsrelaterad diskriminering ska höjas substantiellt till minst ett års förlorad arbetsinkomst.";"integration";"FAVOR"
"70";"swe: Liberal People’s Party";"För att bekämpa den etniska bortsorteringen som uppenbarligen förekommer på den svenska arbetsmarknaden";"integration";"FAVOR"
"71";"swe: Liberal People’s Party";"vill vi snarast inleda försöksverksamhet med avidentifiering av ansökningshandlingar i personalrekrytering för offentliga arbetsgivare.";"integration";"FAVOR"
"72";"swe: Liberal People’s Party";"Det skapar förankring och starka incitament hos de boende att förbättra sin omgivande boendemiljö.";"integration";"FAVOR"
"73";"swe: Liberal People’s Party";"Nu- varande stopplagar för ombildning av hyresrätter till bostadsrätter bör avskaffas.";"integration";"NONE"
"74";"swe: Liberal People’s Party";"SATSNING PÅ SVENSKA SPRÅKET OCH SVERIGEKUNSKAP FÖR INVANDRADE BARN i syfte att hindra skolmisslyckanden.";"integration";"FAVOR"
"75";"swe: Liberal People’s Party";"Den svenska skolan har stora generella problem";"integration";"AGAINST"
"76";"swe: Liberal People’s Party";"och just invandrarbarnens del i dessa problem ska inte överdrivas";"integration";"FAVOR"
"77";"swe: Liberal People’s Party";"– en jämförelse mellan stora grupper visar att invandrarflickor klarar sig bättre i skolan än svenskfödda pojkar,";"integration";"FAVOR"
"78";"swe: Liberal People’s Party";"vilket illustrerar att det finns andra faktorer än invandring av betydelse i sammanhanget.";"integration";"FAVOR"
"79";"swe: Liberal People’s Party";"En grupp som av naturliga skäl har en del extra problem är barn som kommer till Sverige under skolåldern.";"integration";"NONE"
"80";"swe: Liberal People’s Party";"Barn i den gruppen får alltför ofta stora problem i skolan.";"integration";"NONE"
"81";"swe: Liberal People’s Party";"För denna grupp ska ett tilläggsprogram erbjudas";"integration";"FAVOR"
"82";"swe: Liberal People’s Party";"med möjlighet att få bättre kunskaper i svenska språket och om Sverige överhuvudtaget.";"integration";"FAVOR"
"83";"swe: Liberal People’s Party";"Regelbundna kontroller av språkutvecklingen ska införas";"integration";"FAVOR"
"84";"swe: Liberal People’s Party";"och tilläggsprogrammet ska bli obligatoriskt om skolan bedömer att språkutvecklingen inte är tillfredsställande.";"integration";"AGAINST"
"85";"swe: Liberal People’s Party";"FLER SPRÅKFÖRSKOLOR I SEGREGERADE OMRÅDEN bör startas";"integration";"FAVOR"
"86";"swe: Liberal People’s Party";"i syfte att erbjuda invandrade barn och barn med annat modersmål möjlighet att förbättra sina språkfärdigheter i svenska.";"integration";"FAVOR"
"87";"swe: Liberal People’s Party";"FLER NÄRPOLISSTATIONER I UTANFÖRSKAPSOMRÅDENA.";"integration";"AGAINST"
"88";"swe: Liberal People’s Party";"Närpolis- reformens ursprungliga intentioner ska följas.";"integration";"FAVOR"
"89";"swe: Liberal People’s Party";"Rekrytering av poliser som har annan etnisk bakgrund än svensk ska ökas;";"integration";"FAVOR"
"90";"swe: Liberal People’s Party";"misstänksamheten mot polisen bland barn och ungdomar ska brytas";"integration";"FAVOR"
"91";"swe: Liberal People’s Party";"socialsekreterartjänster ska inrättas vid polisstationerna i utsatta områden i syfte att påskynda hjälpinsatserna vid polisingripanden.";"immigration";"AGAINST"
"92";"swe: Liberal People’s Party";"REGLER FÖR UTVISNING FÖRTYDLIGAS OCH ÅTERRESEFÖRBUDET SKÄRPS.";"immigration";"AGAINST"
"93";"swe: Liberal People’s Party";"En utredning ska tillsättas i syfte att precisera utlänningslagens utvisningsregler.";"immigration";"AGAINST"
"94";"swe: Liberal People’s Party";"Mycket tyder på att dagens system missbrukas av personer som vill ha Sverige som bas för brottslig verksamhet";"integration";"AGAINST"
"95";"swe: Liberal People’s Party";"och bara bryr sig om barn och andra anhöriga i Sverige när dessa åberopas som bevis på anknytning till landet.";"integration";"FAVOR"
"96";"swe: Liberal People’s Party";"En uppenbar brist i vår lagstiftning är att det inte finns några bestämmelser om när frågan om utvisning ska tas upp till prövning.";"immigration";"AGAINST"
"97";"swe: Liberal People’s Party";"Eftersom den avgörande skillnaden mellan medborgarskap och permanent uppehållstillstånd, förutom rätten att rösta i riksdagsval, är möjligheten att bli utvisad, anser vi att det naturliga är att frågan om utvisning alltid ska prövas när en person utan svenskt medborgarskap döms för ett grovt brott.";"immigration";"AGAINST"
"98";"swe: Liberal People’s Party";"Tiden för återvändandeförbudet bör normalt vara längre än idag.";"integration";"AGAINST"
"99";"swe: Liberal People’s Party";"Skyddet för brottsoffret ska prioriteras när beslut tas om utvisning och återreseförbud.";"integration";"AGAINST"
"100";"swe: Liberal People’s Party";"OMFATTANDE INSATSER SKA GÖRAS MOT HEDERSVÅLD OCH ANDRA KRÄNKNINGAR AV INDIVIDENS INTEGRITET..";"immigration";"AGAINST"
"101";"swe: Liberal People’s Party";"– särskilt om betydelsen av jämställdhet, barnens rättigheter och respekten för individens integritet –";"integration";"FAVOR"
"102";"swe: Liberal People’s Party";"ska ges åt alla de som flyr eller flyttar till Sverige.";"immigration";"FAVOR"
"103";"swe: Liberal People’s Party";"Informationsmaterialet ska översättas till de språk som våra stora flykting- och invandrargrupper talar";"integration";"FAVOR"
"104";"swe: Liberal People’s Party";"och användas som obligatoriskt undervisningsmaterial inom ramen för svenska för invandrare, sfi.";"integration";"AGAINST"
"105";"swe: Liberal People’s Party";"SPRÅKKRAV FÖR MEDBORGARSKAP BÖR INFÖRAS.";"integration";"AGAINST"
"106";"swe: Liberal People’s Party";"DE FÖRSLAG SOM FRAMFÖRTS OM SÄRLAGSTIFTNING FÖR MUSLIMER MÅSTE AVVISAS TYDLIGT";"integration";"AGAINST"
"107";"swe: Liberal People’s Party";"Folkpartiet anser att Sverige ska föra en tydlig politik för demokrati och mänskliga rättigheter.";"integration";"NONE"
"108";"swe: Liberal People’s Party";"Den internationella solidariteten";"immigration";"NONE"
"109";"swe: Liberal People’s Party";"BISTÅND FÖR DEMOKRATI OCH SÄKERHET. Enprocentsmålet ska gälla.";"immigration";"NONE"
"110";"swe: Christian Democratic Community Party ";"för att underlätta för små företag";"integration";"FAVOR"
"111";"swe: Christian Democratic Community Party ";"och invandrare";"integration";"FAVOR"
"112";"swe: Christian Democratic Community Party ";"En god infrastruktur är en nödvändighet i vårt vidsträckta land.";"integration";"FAVOR"
"113";"swe: Christian Democratic Community Party ";"Statusen för medborgarskap ska höjas,";"integration";"FAVOR"
"114";"swe: Christian Democratic Community Party ";"Alla som blir myndiga och som beviljas svenskt medborgarskap ska få en medborgarbok, som beskriver våra rättigheter, skyldigheter och vårt ansvar.";"integration";"FAVOR"
"115";"swe: Christian Democratic Community Party ";"som syftar till att stimulera till ett fördjupat samtal kring etik, människosyn, hederlighet, personligt ansvar och jämställdhet.";"integration";"FAVOR"
"116";"swe: Christian Democratic Community Party ";"öppnare gränser";"immigration";"FAVOR"
"117";"swe: Moderate Coalition Party";"Unga invandrarkillar ska kunna känna sig lika välkomna som andra på krogar och uteställen.";"integration";"FAVOR"
"118";"swe: Moderate Coalition Party";"Tidiga och tydliga insatser ska prägla rättssamhällets arbete";"integration";"AGAINST"
"119";"swe: Moderate Coalition Party";"genom människor med olika erfarenheter, härkomst och kulturell och religiös identitet.";"integration";"FAVOR"
"120";"swe: Moderate Coalition Party";"En avgörande faktor för att hantera globaliseringens och demografins utmaningar är att förbättra integrationen";"immigration";"FAVOR"
"121";"swe: Moderate Coalition Party";"och öka möjligheterna till rörlighet över gränserna.";"integration";"FAVOR"
"122";"swe: Moderate Coalition Party";"I detta avseende bör rådet dra lärdomar av olika länders integrationsarbete utifrån ett brett perspektiv,";"integration";"FAVOR"
"123";"swe: Moderate Coalition Party";"inrymmande även språkkunskapernas betydelse för medborgarskap och värdet av en blandad arbetskrafts- och flyktinginvandring";"integration";"FAVOR"
"124";"swe: Moderate Coalition Party";"för att underlätta en fungerande integration i Sverige.";"integration";"FAVOR"
"125";"swe: Moderate Coalition Party";"Ett förslag som ska värderas är att införa ett green card-system för arbetskraftsinvandring i Sverige.";"immigration";"FAVOR"
"126";"swe: Moderate Coalition Party";"Arbetet i globaliseringsrådet ska präglas av ett engagemang för Sverige som ligger bortom partipolitikens ibland konfliktorienterade och kortsiktiga hållning.";"immigration";"FAVOR"
"127";"swe: Moderate Coalition Party";"Bland dem som befinner sig allra längst från arbetsmarknaden finns många kvinnor med utländsk bakgrund.";"integration";"FAVOR"
"128";"swe: Moderate Coalition Party";"All diskriminering på grund av kön, etnisk eller religiös tillhörighet, sexuell läggning, ålder, social position eller funktionshinder måste bekämpas.";"integration";"FAVOR"
"129";"swe: Moderate Coalition Party";"Var femte person som bor i Sverige har utländsk bakgrund. Vi vill leva i ett öppet samhälle som präglas av gemenskap och mångfald.";"integration";"FAVOR"
"130";"swe: Moderate Coalition Party";"En genomgående linje i vår integrationspolitik är att riva hinder och öppna möjligheter.";"integration";"FAVOR"
"131";"swe: Moderate Coalition Party";"Invandrare ska respekteras som individer och inte betraktas som ett homogent kollektiv.";"immigration";"FAVOR"
"132";"swe: Moderate Coalition Party";"Det behövs inte mer kontroll eller lägre bidrag för just invandrare,";"integration";"FAVOR"
"133";"swe: Moderate Coalition Party";"utan en politik som frigör människors inneboende kraft.";"integration";"FAVOR"
"134";"swe: Moderate Coalition Party";"och för ett samhälle som präglas av gemenskap och samhörighet,";"integration";"FAVOR"
"135";"swe: Moderate Coalition Party";"där ingen grupp ställs åt sidan eller diskrimineras.";"integration";"FAVOR"
"136";"swe: Moderate Coalition Party";"Den svenska integrationspolitiken har misslyckats. Alltför många har alltför svårt att ta sig in i samhällslivet och på arbetsmarknaden.";"integration";"AGAINST"
"137";"swe: Moderate Coalition Party";"Svenskundervisningen för nyanlända invandrare uppvisar dåliga resultat,";"integration";"FAVOR"
"138";"swe: Moderate Coalition Party";"och många deltar inte i utbildningen.";"integration";"NONE"
"139";"swe: Moderate Coalition Party";"Klyftorna vidgas socialt och ekonomiskt.";"integration";"FAVOR"
"140";"swe: Moderate Coalition Party";"Sverige ska vara ett land av möjligheter för alla.";"integration";"FAVOR"
"141";"swe: Moderate Coalition Party";"De bästa vägarna till integration är arbete och språkkunskaper.";"integration";"FAVOR"
"142";"swe: Moderate Coalition Party";"Vi vill förbättra integrationen på arbetsmarknaden och motverka diskriminering.";"immigration";"NONE"
"143";"swe: Moderate Coalition Party";"Nystartsjobb ska gälla under de tre första åren i Sverige för dem som beviljats uppehållstillstånd.";"integration";"FAVOR"
"144";"swe: Moderate Coalition Party";"Vi vill också öppna för ett system med lärlingsintroduktion.";"integration";"FAVOR"
"145";"swe: Moderate Coalition Party";"Det är viktigt att invandrare erbjuds en god språkutbildning.";"integration";"FAVOR"
"146";"swe: Moderate Coalition Party";"Vi vill öka valfriheten och ersätta dagens svenska för invandrare (SFI) med en utbildningspeng där var och en själv kan välja utbildare.";"integration";"FAVOR"
"147";"swe: Moderate Coalition Party";"Idag får endast 25 procent av de nyanlända flyktingarna sin utbildning värderad och ännu färre har fått sin yrkeserfarenhet validerad efter två år i introduktion.";"integration";"FAVOR"
"148";"swe: Moderate Coalition Party";"Också bedömningen av praktiska yrkeskunskaper måste förbättras, t.ex. genom fristående yrkesprov.";"integration";"FAVOR"
"149";"swe: Moderate Coalition Party";"Många kommuner har under senare år infört så kallade medborgarskapsceremonier. Det är en utveckling som vi vill uppmuntra.";"integration";"FAVOR"
"150";"swe: Moderate Coalition Party";"Krafttag måste tas i kampen mot den etniska bortsorteringen på den svenska arbetsmarknaden.";"integration";"FAVOR"
"151";"swe: Moderate Coalition Party";"Därför krävs en tydlig, effektiv och samlad lagstiftning mot diskriminering.";"integration";"NONE"
"152";"swe: Moderate Coalition Party";"En väg att minska risken för diskriminering i arbetslivet är att använda ett anonymiserat anställningsförfarande.";"integration";"FAVOR"
"153";"swe: Moderate Coalition Party";"Även om de allra flesta invandrare inte begår brott är andelen brottslingar bland utlandsfödda dubbelt så stor som bland inrikes födda.";"integration";"AGAINST"
"154";"swe: Moderate Coalition Party";"Det är ett socialt problem, som behöver tas på större allvar.";"integration";"AGAINST"
"155";"swe: Moderate Coalition Party";"Utlandsfödda är överrepresenterade bland brottsoffren varför en nedgång i brottsligheten har störst positiv effekt för invandrarna.";"integration";"NONE"
"156";"swe: Moderate Coalition Party";"Huvudvägen att bekämpa brottslighet är alltid att undanröja sociala orsaker.";"integration";"FAVOR"
"157";"swe: Moderate Coalition Party";"Vid allvarliga brott bör huvudregeln vara att utländska medborgare ska dömas till utvisning.";"integration";"NONE"
"158";"swe: Moderate Coalition Party";"Föräldrars utbildningsnivå och utanförskap får inte tillåtas avgöra barnens chanser att klara skolan.";"integration";"NONE"
"159";"swe: Moderate Coalition Party";"Två av tre av dessa har svensk bakgrund, en av tre utländsk.";"immigration";"AGAINST"
"160";"swe: Moderate Coalition Party";"liksom terrorism.";"immigration";"FAVOR"
"161";"swe: Moderate Coalition Party";"och att skadlig protektionism undanröjs.";"immigration";"FAVOR"
"162";"swe: Centre Party";"Större flexibilitet ska förenas med ett stärkt rättsligt skydd för den enskilde mot diskriminerande behandling.";"integration";"FAVOR"
"163";"swe: Centre Party";"Statens uppgift är att ge likvärdiga förutsättningar, anpassat efter lokala villkor, eftersom behoven är olika i storstädernas förorter, i landets städer och på landsbygden.";"integration";"FAVOR"
"164";"swe: Centre Party";"Sverige ska vara ett öppet land. Ett öppet samhälle byggt på jämställdhet, respekt och ansvar för människors rättigheter och möjligheten att försörja sig och leva sina egna liv. Sverige ska vara ett samhälle som värnar våra gemensamma värden, respekt, humanism, demokrati och tolerans.";"immigration";"FAVOR"
"165";"swe: Centre Party";"Då vi människor lever allt längre men arbetar allt färre år behöver vi fler som lever och bor här i framtiden och bidrar med nya idéer.";"integration";"FAVOR"
"166";"swe: Centre Party";"Därför bör Sverige öppna upp för reglerad arbetskraftsinvandring för människor som kan och vill komma hit och jobba och försörja sig själva.";"immigration";"FAVOR"
"167";"swe: Centre Party";"Ett system med ”gröna kort” kan göra Sverige till ett attraktivt land att arbeta och utveckla idéer i.";"immigration";"FAVOR"
"168";"swe: Centre Party";"Alla som söker asyl i Sverige ska respekteras av det svenska samhället redan när de anländer.";"immigration";"NONE"
"169";"swe: Centre Party";"Asylsökande ska bli informerade om sina rättigheter och skyldigheter";"integration";"FAVOR"
"170";"swe: Centre Party";"och via arbetsplatspraktik och utbildning få en relevant undervisning i svenska språket och kontakt med det svenska samhället.";"integration";"FAVOR"
"171";"swe: Centre Party";"Jobb är vägen till integration och självkänsla för den som får stanna.";"integration";"FAVOR"
"172";"swe: Centre Party";"All diskriminering på grund av kön,";"integration";"FAVOR"
"173";"swe: Centre Party";"etnisk tillhörighet,";"integration";"NONE"
"174";"swe: Centre Party";"Samhället får inte blunda för att det finns stora grupper barn och ungdomar som har det mycket svårt.";"integration";"NONE"
"175";"swe: Centre Party";"De drabbas av en ofullkomlig flyktingpolitik, föräldrars missbruk, misshandel och vuxenvärldens oförmåga att ge trygghet.";"integration";"AGAINST"
"176";"swe: Centre Party";"Sverige har skrivit på FN:s barnkonvention.";"integration";"FAVOR"
"177";"swe: Green Ecology Party";"lagstiftningen mot diskriminering ska skärpas.";"integration";"FAVOR"
"178";"swe: Green Ecology Party";"De lokala antidiskrimineringsbyråerna ska stärkas.";"integration";"FAVOR"
"179";"swe: Green Ecology Party";"när barn har ett annat modersmål än svenska är att satsa mer på modersmålsundervisning.";"integration";"FAVOR"
"180";"swe: Green Ecology Party";"Vi vill också ha en utökad ämnesundervisning på modersmålet.";"integration";"FAVOR"
"181";"swe: Green Ecology Party";"Nyanlända ska snabbare kunna lära sig svenska,";"integration";"FAVOR"
"182";"swe: Green Ecology Party";"validera eller komplettera sin utbildning och få jobb.";"integration";"FAVOR"
"183";"swe: Green Ecology Party";"Vi vill att studierna i svenska ska kombineras med praktik.";"integration";"NONE"
"184";"swe: Green Ecology Party";"Vi vill höja kvaliteten i svenska som andraspråk.";"integration";"FAVOR"
"185";"swe: Green Ecology Party";"Vi vill att universitet och högskolor ska erbjuda kurser i svenska för dem med akademisk utbildning som kommer till Sverige.";"integration";"FAVOR"
"186";"swe: Green Ecology Party";"Vi vill skapa fler lagliga vägar för migration till eU.";"immigration";"FAVOR"
"187";"swe: Green Ecology Party";"en mer human flyktingpolitik behövs.";"immigration";"NONE"
"188";"swe: Green Ecology Party";"Det har länge funnits brister i den svenska migrationsprocessen, därför vill vi genomföra en amnesti för papperslösa.";"immigration";"FAVOR"
"189";"swe: Green Ecology Party";"barnets bästa ska sättas främst i all bedömning av flyktingärenden.";"immigration";"FAVOR"
"190";"swe: Green Ecology Party";"papperslösa ska ha rätt till vård och skola.";"integration";"FAVOR"
"191";"swe: Left Communists Party";"där intolerans";"integration";"FAVOR"
"192";"swe: Left Communists Party";"och rasism växer sig starkare.";"integration";"NONE"
"193";"swe: Left Communists Party";"Om fyra år ska Sverige vara ett mer demokratiskt samhälle.";"integration";"FAVOR"
"194";"swe: Left Communists Party";"I vår framtidsvision är samhället fritt från rasism";"integration";"FAVOR"
"195";"swe: Left Communists Party";"och Sverige har en human och rättssäker flyktingpolitik";"immigration";"FAVOR"
"196";"swe: Left Communists Party";"som uppfyller internationella konventioner.";"integration";"NONE"
"197";"swe: Left Communists Party";"Vi vill föra en utrikes och säkerhetspolitik för rättvisa.";"immigration";"FAVOR"
"198";"swe: Social Democratic Labour Party";"Fler nyanlända";"integration";"FAVOR"
"199";"swe: Social Democratic Labour Party";"Alla arbetstagare ska behandlas lika, oavsett om de kommer från Ronneby, Riga eller Rotterdam.";"integration";"FAVOR"
"200";"swe: Social Democratic Labour Party";"Alla tjänar på att människor inte begränsas av bakgrund eller kön.";"integration";"FAVOR"
"201";"swe: Social Democratic Labour Party";"Skillnaderna ökar, både inom städerna och mellan stad och land.";"integration";"NONE"
"202";"swe: Social Democratic Labour Party";"Rädslan ökar och därmed främlingsfientligheten.";"integration";"FAVOR"
"203";"swe: Liberal People’s Party";"De stipendieprogram som skapas i samband med att avgifter för tredjelandsstudenter bör dels bli fler, dels omfatta fler länder.";"integration";"FAVOR"
"204";"swe: Liberal People’s Party";"Likaså är situationen för invandrare problematisk på arbetsmarknaden.";"integration";"NONE"
"205";"swe: Liberal People’s Party";"Det tar alldeles för lång tid för en människa som har flytt till Sverige att komma i sysselsättning.";"integration";"FAVOR"
"206";"swe: Liberal People’s Party";"Alltför många fastnar i passivitet och utanförskap.";"integration";"AGAINST"
"207";"swe: Liberal People’s Party";"Nycklarna till en lyckad integration är jobb";"integration";"FAVOR"
"208";"swe: Liberal People’s Party";"och kunskaper i svenska språket.";"integration";"NONE"
"209";"swe: Liberal People’s Party";"Utgångspunkten för vår arbetsmarknadspolitik är att alla kan bidra.";"integration";"FAVOR"
"210";"swe: Liberal People’s Party";"Den som flyr undan förföljelse ska kunna få en fristad i vårt land.";"immigration";"FAVOR"
"211";"swe: Liberal People’s Party";"Och väldigt många av dem som har flytt eller invandrat till vårt land har lyckats";"immigration";"NONE"
"212";"swe: Liberal People’s Party";"– de har fått jobb";"integration";"FAVOR"
"213";"swe: Liberal People’s Party";"När vi tog över landet tog det i snitt sju år för en nyanländ person att få sitt första jobb.";"integration";"FAVOR"
"214";"swe: Liberal People’s Party";"I kölvattnet på den misslyckade integrationen följer ett socialt utanförskap och en isolering som ibland präglar hela stadsdelar och även förs vidare till nästa generation.";"integration";"NONE"
"215";"swe: Liberal People’s Party";"Integrationen är en av våra största framtidsutmaningar.";"integration";"AGAINST"
"216";"swe: Liberal People’s Party";"I en globaliserad värld har vi människor i vårt land som talar i princip alla världens språk";"integration";"NONE"
"217";"swe: Liberal People’s Party";". En lyckad integration";"integration";"FAVOR"
