"rn","cmp_code","content"
49542,0,"Olli ja Taina ovat suunnitelleet asunnon ostoa Helsingin ympäristöstä."
49543,0,"Pankissa asioidessaan he havaitsivat, että pätkätyöläisen on vaikea saada asuntolainaa."
49544,0,"Tarjottu korkomarginaali on hurjasti korkeampi kuin niillä, joilla on vakituinen työpaikka."
49560,0,"Ossi, 19, purkaa kämppänsä keittiössä kauppakassia: tonnikalaa, nuudelipaketteja, paahtoleipää, 50 sentin appelsiinimehupurkkeja."
49561,0,"Siinä ovat opiskelijakukkarolle sopivat herkut."
49562,0,"Ossi muutti kesällä Helsinkiin saatuaan opiskelupaikan ammattikorkeakoulu Stadiasta."
49563,0,"Hän asuu kimppakämpässä Pohjois-Haagassa kahden muun opiskelijan kanssa."
49564,0,"”Pelkällä opintotuella ei maksa sekä vuokraa että ruokaa” – saati sitten osta opiskeluissa tarvittavaa tietokonetta."
49565,0,"Jotkut Ossin kavereista saavat rahaa vanhemmilta, mutta Ossille asia ei ole aivan yksinkertainen."
49566,0,"Ossin äiti Aila, 56, opiskeli aikoinaan merkonomiksi ja oli hyvässä työpaikassa pankissa."
49567,0,"Ensimmäisen lapsen syntymän jälkeen hän halusi jäädä kotiin."
49568,0,"Aila sai miehensä Keijon kanssa kolme lasta, joista kaksi vanhinta on jo muuttanut perheineen ulkomaille töihin."
49569,0,"Nuorimman lapsen muutettua pois kotoa Ailalle ja Keijolle tuli avioero."
49570,0,"Aila lunasti pariskunnan yhteisen asunnon omakseen."
49571,0,"Tätä varten hän joutui ottamaan melkoisen asuntolainan."
49572,0,"Työpaikan saanti kuitenkin onnistui."
49573,0,"Ailalle on nyt valjennut, mitä vielä on edessä."
49574,0,"Jos hän jää 63-vuotiaana eläkkeelle, hän ei pysty lyhentämään jäljellä olevaa asuntolainaa, koska lyhyen työhistorian vuoksi eläke jää pieneksi."
49575,0,"Aila joutuu myymään asunnon, jossa hän on asunut suurimman osan elämästään ja kasvattanut kaikki lapsensa."
49591,0,"Sari, 48, työskentelee sairaanhoitajana keskussairaalan vuodeosastolla."
49592,0,"Hän on tyytyväinen saadessaan olla lähellä ihmisiä ja konkreettisena apuna."
49593,0,"Kuitenkin työolot sairaalassa ovat raskaat."
49594,0,"Resurssit ovat riittämättömät, ja osastolle ei saada tarpeeksi hoitajia."
49595,0,"Ylihoitajat ovat yrittäneet rekrytoida lisää työntekijöitä, mutta palkka ei houkuttele."
49596,0,"Sarin ovat yllättäneet viime aikoina tulleet tiedot siitä, miten harva sairaanhoitajan koulutuksen saanut on töissä suomalaisessa sairaalassa."
49597,0,"Sairaanhoitajamme valuvat mm. Norjaan ja jopa Australiaan."
49598,0,"Osa tekee aivan muita töitä."
49599,0,"Sarin osastolla moni hoitaja on uupumuksen vuoksi sairaslomalla."
49600,0,"Saristakin tuntuu, että perheelle ei jää annettavaksi mitään, kun työ vie mehut niin henkisesti kuin fyysisesti."
49601,0,"Harrastuksetkin ovat jääneet, mutta työtä pitäisi jaksaa tehdä eläkeikään saakka."
49602,0,"Sari on huolissaan potilaista."
49603,0,"Kaikki eivät pääse osastolta jatkohoitoon."
49604,0,"”Meille pitäisi saada enemmän henkilökuntaa”, Sari toteaa ykskantaan."
49605,0,"Hänen esimiehensä on vakuuttanut, että kaikki voitava on tehty sairaanhoitajien hankkimiseksi, mutta paikat eivät kiinnosta riittävästi."
49606,0,"Viime aikoina Saria on kauhistuttanut hänen juuri syntyneen siskontyttärensä Emilian tilanne."
49607,0,"Emilia on vammainen, mikä oli vanhemmille aluksi järkytys, josta kuitenkin selvittiin rakkaudella ja päättäväisyydellä."
49608,0,"Sari on ihmetellyt, miksi Emilian vanhempia pyöritettiin viranomaiselta toiselle, juuri kun suru oli suurimmillaan."
49623,0,"Seppo, 85, ja Leila, 82, tapasivat sodan aikana."
49624,0,"Seppo haavoittui Ihantalassa kesällä -44."
49625,0,"”Heinäkuun kolmantena sain kranaatin Ailaleen jalkaan poteroon syöksyessäni."
49626,0,"Siitä tuli vähän kiire lähtö taaksepäin.”"
49627,0,"Helppoa ei ollut Leilallakaan."
49628,0,"Kahdesti perhe lähti Äyräpäästä evakkoon."
49629,0,"Lottana Leila näki sodan todelliset kasvot."
49630,0,"Hän oli aluksi Viipurin sotasairaalassa, mutta siirtyi sen mukana Lahteen."
49631,0,"”Laguksen joukkojen JSP:n kautta Seppokin tuli sitten Lahteen."
49632,0,"Siellä me tapasimme.”"
49633,0,"Sepolla on sodan muistona 10 %:n invaliditeetti, mutta vamma ei koskaan estänyt häntä työnteosta."
49634,0,"Seppo teki menestyksellisen työuran kaupungin vesilaitoksen insinöörinä."
49635,0,"Leila oli kotona ja kasvatti perheen neljä lasta."
49636,0,"Seppo ja Leila ovat niitä, joiden ansiosta Suomi nousi jaloilleen."
49637,0,"Viime vuosina Sepon vanha vaiva on kolottanut ja hän toivoisi saavansa kuntoutusta."
49638,0,"”En halua valittaa, on Suomessa muillakin ongelmia.”"
49639,0,"Seppo ja Leila äänestivät vuonna 1994 Suomen EY-jäsenyyden puolesta ennen kaikkea turvallisuuden vuoksi."
49640,0,"Vaikka EU:n tekemiset välillä ihmetyttävät, on pariskunta sitä mieltä, että EU on Suomelle hyvä asia."
49641,0,"”Kun EU vain malttaisi keskittyä oleelliseen ja hoitaa asiat hyvin”, Seppo puntaroi."
49642,0,"Seppo ja Leila ovat huolissaan Suomen turvallisuudesta."
49643,0,"He ovat pohtineet myös Natojäsenyyttä."
49644,0,"”Pitäisi miettiä tulevaisuutta: millaisessa maailmassa meidän lapsemme elävät."
49645,0,"Siitä on lähdettävä, että tätä maata aina pystytään puolustamaan.”"
49664,0,"Tapani, 52, on työtön pieneltä paikkakunnalta Satakunnasta."
49665,0,"1998 lakkautettiin tehdas, jossa hän oli ollut töissä koulunpenkiltä päästyään."
49666,0,"Tuotanto siirrettiin Viroon."
49667,0,"Tapanille ei tuolloin löytynyt työkokemusta vastaavaa työtä omalta paikkakunnalta."
49668,0,"Hän ilmoittautui työvoimatoimistoon työttömäksi työnhakijaksi."
49669,0,"Tapani ihmetteli, kun kukaan ei toimistolta ollut häneen missään yhteydessä, vaikka työministeriön internet-sivuilla näin luvattiin."
49670,0,"Tapani mietti jo muuttamista muualle töiden perässä, mutta sitten työvoimatoimistolta vihdoin tarjottiin kurssia."
49671,0,"Tapani mietti, että ”kyllähän ne siellä työkkärissä tietävät, mikä työttömälle on parasta”."
49672,0,"Seuraavat vuodet Tapanilla menivät erilaisten kurssien ja työnhakuvalmennusten suorittamisessa."
49673,0,"Välillä Tapani oli taas työttömänä."
49674,0,"Kerran Tapani tukityöllistettiin kunnalle."
49675,0,"Siinä hommassa hän viihtyi."
49676,0,"Työ tuntui mielekkäältä, mutta sekin päättyi heti tukijakson loputtua."
49677,0,"Tapani on selvittänyt, että hänelle voisi löytyä töitä Porista, mutta hänen ammattitaitonsa ei niihin hommiin ihan riitä."
49689,0,"Vaasalainen Ylva, 35, työskentelee kaupan kassalla."
49690,0,"Kolme vuotta sitten Ylva erosi sittemmin ulkomaille muuttaneesta miehestään."
49691,0,"Ylvalla on kotona 5-vuotias Markus ja 10-vuotias Milla."
49692,0,"Viime keväänä hiihtolomien jälkeen lapset kertoivat kotona luokkakavereidensa matkoista Lappiin."
49693,0,"Ylva haluaisi antaa lapsille samanlaiset mahdollisuudet harrastaa kuin heidän kavereillaankin."
49694,0,"Yksinhuoltajalla raha ei tahdo riittää - ei edes perustarpeisiin."
49695,0,"Ylva mainitsee alati nousevat sähkölaskut."
49696,0,"”Venytin penniä ja sain ostetuksi uudet sukset kummallekin."
49697,0,"Nyt sitten pitäisi mennä hiihtämään, mutta on vesikelit!”"
49698,0,"Milla-tytär on kertonut, että naapurissa olevan ylä-asteen pihalla on kaupiteltu huumeita."
49699,0,"Ylva on huolissaan siitä, onko Millalla järkevää tekemistä iltapäivisin koulun jälkeen, kun hän itse on vielä töissä."
49700,0,"Markuksen nouto päiväkodista tekee sekin välillä tiukkaa."
49701,0,"Työpäivät kassalla ovat joskus pidemmät kuin päiväkotien aukioloajat."
49702,0,"Ylva on pyrkinyt sopimaan työaikansa siten, että ehtii lapsensa hakemaan."
49703,0,"Aina se ei ole onnistunut."
49704,0,"Onneksi joku ystävistä on silloin auttanut."
49727,0,"Yrjö, 53, on pakettiauton kuljettaja ja yrittäjä, joka perusti 13 vuotta sitten oman toiminimensä ”Ykän kuljetus”."
49728,0,"Töistä ei Yrjöllä ole ollut pulaa."
49729,0,"”Vapaapäiviä ei oo tullut pidettyä neljään vuoteen; paitsi joulu ja juhannus.”"
49730,0,"Runsas kaksi vuotta sitten Yrjö oli ohitusleikkauksessa, silloin hän piti ”kuuden päivän sairasloman”."
49731,0,"Töitä on nytkin siinä määrin, että Yrjö haluaisi palkata avukseen yhden tai työntekijää."
49732,0,"Jonkin verran hän on saanut tähän liittyviä käytännön asioita selvitettyä, mutta kaikenlainen byrokratia tuntuu vievän aivan liikaa aikaa itse työnteolta."
49733,0,"Työllistämisen kustannuksetkin ovat alkaneet Yrjöä hirvittää: ”Kaikkine kuluineen työntekijän palkan saa kertoa kahdella.”"
49734,0,"Outi-vaimon, 49, äidin sairastuttua tämä muutti asumaan Yrjön ja Outin luo, ja Outi jäi kotiin huolehtimaan 80-vuotiaasta äidistään."
49735,0,"Outi joutui jättämään kanslistin viran ala-asteen koululla, kun muuten ei olisi voinut tehdä sitä minkä hän oikeaksi näki."
49736,0,"Outin äiti voi nyt jo vähän paremmin ja Outi toivoisi voivansa palata takaisin työelämään."
49737,0,"”Kunpa voisin käydä töissä niin, että ehtisin hoitaa myös äitiäni”, Outi huokaa."
49738,0,"Yrjö toivoo voivansa jatkaa yrityksessään eläkeikään saakka."
49739,0,"”Se kyllä olisi hyvä, että politiikassa näiden Nokioitten ja kaiken tekniikan lisäksi muistettaisiin meidät perinteisemmätkin pienyrittäjät.”"
152531,305,"Wir wenden uns mit diesem Programm an Sie."
