"";"country";"party";"content";"target";"stance"
"58";"sweden";"swe: Liberal People’s Party";"Principerna ska naturligtvis vara desamma för alla, invandrare såväl som svenskfödda.";"Integration";"FAVOR"
"59";"sweden";"swe: Liberal People’s Party";"Den som däremot är frisk och arbetsför, men ändå inte vill delta, förlorar rätten till bidrag";"Integration";"AGAINST"
"60";"sweden";"swe: Liberal People’s Party";"– erfarenhetsmässigt beror det i många fall på att personerna föredrar att försörja sig genom svartarbete.";"Integration";"FAVOR"
"61";"sweden";"swe: Liberal People’s Party";"Nyinflyttade flyktingar och flyktinganhöriga som har rätt till introduktionsersättning ska också omfattas av garantin.";"Integration";"FAVOR"
"62";"sweden";"swe: Liberal People’s Party";"1. EN STOR SPRÅKSATSNING GENOMFÖRS riktad mot vuxna invandrare som önskar förbättra sina kunskaper i svenska språket.";"Integration";"FAVOR"
"63";"sweden";"swe: Liberal People’s Party";"En sådan satsning ska öppna för möjligheten att reparera följderna av den ofta undermåliga sfi-undervisningen (sfi = svenska för invandrare) som hittills erbjudits invandrade personer.";"Integration";"FAVOR"
"64";"sweden";"swe: Liberal People’s Party";"Det är angeläget att andelen invandrare som går sfi ökar –";"Integration";"FAVOR"
"65";"sweden";"swe: Liberal People’s Party";"idag tycks rätt många föredra att lära sig svenska på egen hand.";"Integration";"FAVOR"
"66";"sweden";"swe: Liberal People’s Party";"Kvaliteten måste höjas";"Integration";"FAVOR"
"67";"sweden";"swe: Liberal People’s Party";"2. NYSTARTJOBB BLIR STARTJOBB FÖR ARBETSLÖSA i syfte att ge dem en direkt möjlighet att komma in på arbetsmarknaden.";"Integration";"FAVOR"
"68";"sweden";"swe: Liberal People’s Party";"i syfte att öppna arbetsmarknaden för alla.";"Integration";"FAVOR"
"69";"sweden";"swe: Liberal People’s Party";"Skadeståndsbeloppet vid all arbetsmarknadsrelaterad diskriminering ska höjas substantiellt till minst ett års förlorad arbetsinkomst.";"Integration";"FAVOR"
"70";"sweden";"swe: Liberal People’s Party";"För att bekämpa den etniska bortsorteringen som uppenbarligen förekommer på den svenska arbetsmarknaden";"Integration";"FAVOR"
"71";"sweden";"swe: Liberal People’s Party";"vill vi snarast inleda försöksverksamhet med avidentifiering av ansökningshandlingar i personalrekrytering för offentliga arbetsgivare.";"Integration";"FAVOR"
"72";"sweden";"swe: Liberal People’s Party";"Det skapar förankring och starka incitament hos de boende att förbättra sin omgivande boendemiljö.";"Integration";"FAVOR"
"73";"sweden";"swe: Liberal People’s Party";"Nu- varande stopplagar för ombildning av hyresrätter till bostadsrätter bör avskaffas.";"Integration";"NONE"
"74";"sweden";"swe: Liberal People’s Party";"SATSNING PÅ SVENSKA SPRÅKET OCH SVERIGEKUNSKAP FÖR INVANDRADE BARN i syfte att hindra skolmisslyckanden.";"Integration";"FAVOR"
"75";"sweden";"swe: Liberal People’s Party";"Den svenska skolan har stora generella problem";"Integration";"AGAINST"
"76";"sweden";"swe: Liberal People’s Party";"och just invandrarbarnens del i dessa problem ska inte överdrivas";"Integration";"FAVOR"
"77";"sweden";"swe: Liberal People’s Party";"– en jämförelse mellan stora grupper visar att invandrarflickor klarar sig bättre i skolan än svenskfödda pojkar,";"Integration";"FAVOR"
"78";"sweden";"swe: Liberal People’s Party";"vilket illustrerar att det finns andra faktorer än invandring av betydelse i sammanhanget.";"Integration";"FAVOR"
"79";"sweden";"swe: Liberal People’s Party";"En grupp som av naturliga skäl har en del extra problem är barn som kommer till Sverige under skolåldern.";"Integration";"NONE"
"80";"sweden";"swe: Liberal People’s Party";"Barn i den gruppen får alltför ofta stora problem i skolan.";"Integration";"NONE"
"81";"sweden";"swe: Liberal People’s Party";"För denna grupp ska ett tilläggsprogram erbjudas";"Integration";"FAVOR"
"82";"sweden";"swe: Liberal People’s Party";"med möjlighet att få bättre kunskaper i svenska språket och om Sverige överhuvudtaget.";"Integration";"FAVOR"
"83";"sweden";"swe: Liberal People’s Party";"Regelbundna kontroller av språkutvecklingen ska införas";"Integration";"FAVOR"
"84";"sweden";"swe: Liberal People’s Party";"och tilläggsprogrammet ska bli obligatoriskt om skolan bedömer att språkutvecklingen inte är tillfredsställande.";"Integration";"AGAINST"
"85";"sweden";"swe: Liberal People’s Party";"FLER SPRÅKFÖRSKOLOR I SEGREGERADE OMRÅDEN bör startas";"Integration";"FAVOR"
"86";"sweden";"swe: Liberal People’s Party";"i syfte att erbjuda invandrade barn och barn med annat modersmål möjlighet att förbättra sina språkfärdigheter i svenska.";"Integration";"FAVOR"
"87";"sweden";"swe: Liberal People’s Party";"FLER NÄRPOLISSTATIONER I UTANFÖRSKAPSOMRÅDENA.";"Integration";"AGAINST"
"88";"sweden";"swe: Liberal People’s Party";"Närpolis- reformens ursprungliga intentioner ska följas.";"Integration";"FAVOR"
"89";"sweden";"swe: Liberal People’s Party";"Rekrytering av poliser som har annan etnisk bakgrund än svensk ska ökas;";"Integration";"FAVOR"
"90";"sweden";"swe: Liberal People’s Party";"misstänksamheten mot polisen bland barn och ungdomar ska brytas";"Integration";"FAVOR"
"91";"sweden";"swe: Liberal People’s Party";"socialsekreterartjänster ska inrättas vid polisstationerna i utsatta områden i syfte att påskynda hjälpinsatserna vid polisingripanden.";"Immigration";"AGAINST"
"92";"sweden";"swe: Liberal People’s Party";"REGLER FÖR UTVISNING FÖRTYDLIGAS OCH ÅTERRESEFÖRBUDET SKÄRPS.";"Immigration";"AGAINST"
"93";"sweden";"swe: Liberal People’s Party";"En utredning ska tillsättas i syfte att precisera utlänningslagens utvisningsregler.";"Immigration";"AGAINST"
"94";"sweden";"swe: Liberal People’s Party";"Mycket tyder på att dagens system missbrukas av personer som vill ha Sverige som bas för brottslig verksamhet";"Integration";"AGAINST"
"95";"sweden";"swe: Liberal People’s Party";"och bara bryr sig om barn och andra anhöriga i Sverige när dessa åberopas som bevis på anknytning till landet.";"Integration";"FAVOR"
"96";"sweden";"swe: Liberal People’s Party";"En uppenbar brist i vår lagstiftning är att det inte finns några bestämmelser om när frågan om utvisning ska tas upp till prövning.";"Immigration";"AGAINST"
"97";"sweden";"swe: Liberal People’s Party";"Eftersom den avgörande skillnaden mellan medborgarskap och permanent uppehållstillstånd, förutom rätten att rösta i riksdagsval, är möjligheten att bli utvisad, anser vi att det naturliga är att frågan om utvisning alltid ska prövas när en person utan svenskt medborgarskap döms för ett grovt brott.";"Immigration";"AGAINST"
"98";"sweden";"swe: Liberal People’s Party";"Tiden för återvändandeförbudet bör normalt vara längre än idag.";"Integration";"AGAINST"
"99";"sweden";"swe: Liberal People’s Party";"Skyddet för brottsoffret ska prioriteras när beslut tas om utvisning och återreseförbud.";"Integration";"AGAINST"
"100";"sweden";"swe: Liberal People’s Party";"OMFATTANDE INSATSER SKA GÖRAS MOT HEDERSVÅLD OCH ANDRA KRÄNKNINGAR AV INDIVIDENS INTEGRITET..";"Immigration";"AGAINST"
"101";"sweden";"swe: Liberal People’s Party";"– särskilt om betydelsen av jämställdhet, barnens rättigheter och respekten för individens integritet –";"Integration";"FAVOR"
"102";"sweden";"swe: Liberal People’s Party";"ska ges åt alla de som flyr eller flyttar till Sverige.";"Immigration";"FAVOR"
"103";"sweden";"swe: Liberal People’s Party";"Informationsmaterialet ska översättas till de språk som våra stora flykting- och invandrargrupper talar";"Integration";"FAVOR"
"104";"sweden";"swe: Liberal People’s Party";"och användas som obligatoriskt undervisningsmaterial inom ramen för svenska för invandrare, sfi.";"Integration";"AGAINST"
"105";"sweden";"swe: Liberal People’s Party";"SPRÅKKRAV FÖR MEDBORGARSKAP BÖR INFÖRAS.";"Integration";"AGAINST"
"106";"sweden";"swe: Liberal People’s Party";"DE FÖRSLAG SOM FRAMFÖRTS OM SÄRLAGSTIFTNING FÖR MUSLIMER MÅSTE AVVISAS TYDLIGT";"Integration";"AGAINST"
"107";"sweden";"swe: Liberal People’s Party";"Folkpartiet anser att Sverige ska föra en tydlig politik för demokrati och mänskliga rättigheter.";"Integration";"NONE"
"108";"sweden";"swe: Liberal People’s Party";"Den internationella solidariteten";"Immigration";"NONE"
"109";"sweden";"swe: Liberal People’s Party";"BISTÅND FÖR DEMOKRATI OCH SÄKERHET. Enprocentsmålet ska gälla.";"Immigration";"NONE"
"110";"sweden";"swe: Christian Democratic Community Party ";"för att underlätta för små företag";"Integration";"FAVOR"
"111";"sweden";"swe: Christian Democratic Community Party ";"och invandrare";"Integration";"FAVOR"
"112";"sweden";"swe: Christian Democratic Community Party ";"En god infrastruktur är en nödvändighet i vårt vidsträckta land.";"Integration";"FAVOR"
"113";"sweden";"swe: Christian Democratic Community Party ";"Statusen för medborgarskap ska höjas,";"Integration";"FAVOR"
"114";"sweden";"swe: Christian Democratic Community Party ";"Alla som blir myndiga och som beviljas svenskt medborgarskap ska få en medborgarbok, som beskriver våra rättigheter, skyldigheter och vårt ansvar.";"Integration";"FAVOR"
"115";"sweden";"swe: Christian Democratic Community Party ";"som syftar till att stimulera till ett fördjupat samtal kring etik, människosyn, hederlighet, personligt ansvar och jämställdhet.";"Integration";"FAVOR"
"116";"sweden";"swe: Christian Democratic Community Party ";"öppnare gränser";"Immigration";"FAVOR"
"117";"sweden";"swe: Moderate Coalition Party";"Unga invandrarkillar ska kunna känna sig lika välkomna som andra på krogar och uteställen.";"Integration";"FAVOR"
"118";"sweden";"swe: Moderate Coalition Party";"Tidiga och tydliga insatser ska prägla rättssamhällets arbete";"Integration";"AGAINST"
"119";"sweden";"swe: Moderate Coalition Party";"genom människor med olika erfarenheter, härkomst och kulturell och religiös identitet.";"Integration";"FAVOR"
"120";"sweden";"swe: Moderate Coalition Party";"En avgörande faktor för att hantera globaliseringens och demografins utmaningar är att förbättra integrationen";"Immigration";"FAVOR"
"121";"sweden";"swe: Moderate Coalition Party";"och öka möjligheterna till rörlighet över gränserna.";"Integration";"FAVOR"
"122";"sweden";"swe: Moderate Coalition Party";"I detta avseende bör rådet dra lärdomar av olika länders integrationsarbete utifrån ett brett perspektiv,";"Integration";"FAVOR"
"123";"sweden";"swe: Moderate Coalition Party";"inrymmande även språkkunskapernas betydelse för medborgarskap och värdet av en blandad arbetskrafts- och flyktinginvandring";"Integration";"FAVOR"
"124";"sweden";"swe: Moderate Coalition Party";"för att underlätta en fungerande integration i Sverige.";"Integration";"FAVOR"
"125";"sweden";"swe: Moderate Coalition Party";"Ett förslag som ska värderas är att införa ett green card-system för arbetskraftsinvandring i Sverige.";"Immigration";"FAVOR"
"126";"sweden";"swe: Moderate Coalition Party";"Arbetet i globaliseringsrådet ska präglas av ett engagemang för Sverige som ligger bortom partipolitikens ibland konfliktorienterade och kortsiktiga hållning.";"Immigration";"FAVOR"
"127";"sweden";"swe: Moderate Coalition Party";"Bland dem som befinner sig allra längst från arbetsmarknaden finns många kvinnor med utländsk bakgrund.";"Integration";"FAVOR"
"128";"sweden";"swe: Moderate Coalition Party";"All diskriminering på grund av kön, etnisk eller religiös tillhörighet, sexuell läggning, ålder, social position eller funktionshinder måste bekämpas.";"Integration";"FAVOR"
"129";"sweden";"swe: Moderate Coalition Party";"Var femte person som bor i Sverige har utländsk bakgrund. Vi vill leva i ett öppet samhälle som präglas av gemenskap och mångfald.";"Integration";"FAVOR"
"130";"sweden";"swe: Moderate Coalition Party";"En genomgående linje i vår integrationspolitik är att riva hinder och öppna möjligheter.";"Integration";"FAVOR"
"131";"sweden";"swe: Moderate Coalition Party";"Invandrare ska respekteras som individer och inte betraktas som ett homogent kollektiv.";"Immigration";"FAVOR"
"132";"sweden";"swe: Moderate Coalition Party";"Det behövs inte mer kontroll eller lägre bidrag för just invandrare,";"Integration";"FAVOR"
"133";"sweden";"swe: Moderate Coalition Party";"utan en politik som frigör människors inneboende kraft.";"Integration";"FAVOR"
"134";"sweden";"swe: Moderate Coalition Party";"och för ett samhälle som präglas av gemenskap och samhörighet,";"Integration";"FAVOR"
"135";"sweden";"swe: Moderate Coalition Party";"där ingen grupp ställs åt sidan eller diskrimineras.";"Integration";"FAVOR"
"136";"sweden";"swe: Moderate Coalition Party";"Den svenska integrationspolitiken har misslyckats. Alltför många har alltför svårt att ta sig in i samhällslivet och på arbetsmarknaden.";"Integration";"AGAINST"
"137";"sweden";"swe: Moderate Coalition Party";"Svenskundervisningen för nyanlända invandrare uppvisar dåliga resultat,";"Integration";"FAVOR"
"138";"sweden";"swe: Moderate Coalition Party";"och många deltar inte i utbildningen.";"Integration";"NONE"
"139";"sweden";"swe: Moderate Coalition Party";"Klyftorna vidgas socialt och ekonomiskt.";"Integration";"FAVOR"
"140";"sweden";"swe: Moderate Coalition Party";"Sverige ska vara ett land av möjligheter för alla.";"Integration";"FAVOR"
"141";"sweden";"swe: Moderate Coalition Party";"De bästa vägarna till integration är arbete och språkkunskaper.";"Integration";"FAVOR"
"142";"sweden";"swe: Moderate Coalition Party";"Vi vill förbättra integrationen på arbetsmarknaden och motverka diskriminering.";"Immigration";"NONE"
"143";"sweden";"swe: Moderate Coalition Party";"Nystartsjobb ska gälla under de tre första åren i Sverige för dem som beviljats uppehållstillstånd.";"Integration";"FAVOR"
"144";"sweden";"swe: Moderate Coalition Party";"Vi vill också öppna för ett system med lärlingsintroduktion.";"Integration";"FAVOR"
"145";"sweden";"swe: Moderate Coalition Party";"Det är viktigt att invandrare erbjuds en god språkutbildning.";"Integration";"FAVOR"
"146";"sweden";"swe: Moderate Coalition Party";"Vi vill öka valfriheten och ersätta dagens svenska för invandrare (SFI) med en utbildningspeng där var och en själv kan välja utbildare.";"Integration";"FAVOR"
"147";"sweden";"swe: Moderate Coalition Party";"Idag får endast 25 procent av de nyanlända flyktingarna sin utbildning värderad och ännu färre har fått sin yrkeserfarenhet validerad efter två år i introduktion.";"Integration";"FAVOR"
"148";"sweden";"swe: Moderate Coalition Party";"Också bedömningen av praktiska yrkeskunskaper måste förbättras, t.ex. genom fristående yrkesprov.";"Integration";"FAVOR"
"149";"sweden";"swe: Moderate Coalition Party";"Många kommuner har under senare år infört så kallade medborgarskapsceremonier. Det är en utveckling som vi vill uppmuntra.";"Integration";"FAVOR"
"150";"sweden";"swe: Moderate Coalition Party";"Krafttag måste tas i kampen mot den etniska bortsorteringen på den svenska arbetsmarknaden.";"Integration";"FAVOR"
"151";"sweden";"swe: Moderate Coalition Party";"Därför krävs en tydlig, effektiv och samlad lagstiftning mot diskriminering.";"Integration";"NONE"
"152";"sweden";"swe: Moderate Coalition Party";"En väg att minska risken för diskriminering i arbetslivet är att använda ett anonymiserat anställningsförfarande.";"Integration";"FAVOR"
"153";"sweden";"swe: Moderate Coalition Party";"Även om de allra flesta invandrare inte begår brott är andelen brottslingar bland utlandsfödda dubbelt så stor som bland inrikes födda.";"Integration";"AGAINST"
"154";"sweden";"swe: Moderate Coalition Party";"Det är ett socialt problem, som behöver tas på större allvar.";"Integration";"AGAINST"
"155";"sweden";"swe: Moderate Coalition Party";"Utlandsfödda är överrepresenterade bland brottsoffren varför en nedgång i brottsligheten har störst positiv effekt för invandrarna.";"Integration";"NONE"
"156";"sweden";"swe: Moderate Coalition Party";"Huvudvägen att bekämpa brottslighet är alltid att undanröja sociala orsaker.";"Integration";"FAVOR"
"157";"sweden";"swe: Moderate Coalition Party";"Vid allvarliga brott bör huvudregeln vara att utländska medborgare ska dömas till utvisning.";"Integration";"NONE"
"158";"sweden";"swe: Moderate Coalition Party";"Föräldrars utbildningsnivå och utanförskap får inte tillåtas avgöra barnens chanser att klara skolan.";"Integration";"NONE"
"159";"sweden";"swe: Moderate Coalition Party";"Två av tre av dessa har svensk bakgrund, en av tre utländsk.";"Immigration";"AGAINST"
"160";"sweden";"swe: Moderate Coalition Party";"liksom terrorism.";"Immigration";"FAVOR"
"161";"sweden";"swe: Moderate Coalition Party";"och att skadlig protektionism undanröjs.";"Immigration";"FAVOR"
"162";"sweden";"swe: Centre Party";"Större flexibilitet ska förenas med ett stärkt rättsligt skydd för den enskilde mot diskriminerande behandling.";"Integration";"FAVOR"
"163";"sweden";"swe: Centre Party";"Statens uppgift är att ge likvärdiga förutsättningar, anpassat efter lokala villkor, eftersom behoven är olika i storstädernas förorter, i landets städer och på landsbygden.";"Integration";"FAVOR"
"164";"sweden";"swe: Centre Party";"Sverige ska vara ett öppet land. Ett öppet samhälle byggt på jämställdhet, respekt och ansvar för människors rättigheter och möjligheten att försörja sig och leva sina egna liv. Sverige ska vara ett samhälle som värnar våra gemensamma värden, respekt, humanism, demokrati och tolerans.";"Immigration";"FAVOR"
"165";"sweden";"swe: Centre Party";"Då vi människor lever allt längre men arbetar allt färre år behöver vi fler som lever och bor här i framtiden och bidrar med nya idéer.";"Integration";"FAVOR"
"166";"sweden";"swe: Centre Party";"Därför bör Sverige öppna upp för reglerad arbetskraftsinvandring för människor som kan och vill komma hit och jobba och försörja sig själva.";"Immigration";"FAVOR"
"167";"sweden";"swe: Centre Party";"Ett system med ”gröna kort” kan göra Sverige till ett attraktivt land att arbeta och utveckla idéer i.";"Immigration";"FAVOR"
"168";"sweden";"swe: Centre Party";"Alla som söker asyl i Sverige ska respekteras av det svenska samhället redan när de anländer.";"Immigration";"NONE"
"169";"sweden";"swe: Centre Party";"Asylsökande ska bli informerade om sina rättigheter och skyldigheter";"Integration";"FAVOR"
"170";"sweden";"swe: Centre Party";"och via arbetsplatspraktik och utbildning få en relevant undervisning i svenska språket och kontakt med det svenska samhället.";"Integration";"FAVOR"
"171";"sweden";"swe: Centre Party";"Jobb är vägen till integration och självkänsla för den som får stanna.";"Integration";"FAVOR"
"172";"sweden";"swe: Centre Party";"All diskriminering på grund av kön,";"Integration";"FAVOR"
"173";"sweden";"swe: Centre Party";"etnisk tillhörighet,";"Integration";"NONE"
"174";"sweden";"swe: Centre Party";"Samhället får inte blunda för att det finns stora grupper barn och ungdomar som har det mycket svårt.";"Integration";"NONE"
"175";"sweden";"swe: Centre Party";"De drabbas av en ofullkomlig flyktingpolitik, föräldrars missbruk, misshandel och vuxenvärldens oförmåga att ge trygghet.";"Integration";"AGAINST"
"176";"sweden";"swe: Centre Party";"Sverige har skrivit på FN:s barnkonvention.";"Integration";"FAVOR"
"177";"sweden";"swe: Green Ecology Party";"lagstiftningen mot diskriminering ska skärpas.";"Integration";"FAVOR"
"178";"sweden";"swe: Green Ecology Party";"De lokala antidiskrimineringsbyråerna ska stärkas.";"Integration";"FAVOR"
"179";"sweden";"swe: Green Ecology Party";"när barn har ett annat modersmål än svenska är att satsa mer på modersmålsundervisning.";"Integration";"FAVOR"
"180";"sweden";"swe: Green Ecology Party";"Vi vill också ha en utökad ämnesundervisning på modersmålet.";"Integration";"FAVOR"
"181";"sweden";"swe: Green Ecology Party";"Nyanlända ska snabbare kunna lära sig svenska,";"Integration";"FAVOR"
"182";"sweden";"swe: Green Ecology Party";"validera eller komplettera sin utbildning och få jobb.";"Integration";"FAVOR"
"183";"sweden";"swe: Green Ecology Party";"Vi vill att studierna i svenska ska kombineras med praktik.";"Integration";"NONE"
"184";"sweden";"swe: Green Ecology Party";"Vi vill höja kvaliteten i svenska som andraspråk.";"Integration";"FAVOR"
"185";"sweden";"swe: Green Ecology Party";"Vi vill att universitet och högskolor ska erbjuda kurser i svenska för dem med akademisk utbildning som kommer till Sverige.";"Integration";"FAVOR"
"186";"sweden";"swe: Green Ecology Party";"Vi vill skapa fler lagliga vägar för migration till eU.";"Immigration";"FAVOR"
"187";"sweden";"swe: Green Ecology Party";"en mer human flyktingpolitik behövs.";"Immigration";"NONE"
"188";"sweden";"swe: Green Ecology Party";"Det har länge funnits brister i den svenska migrationsprocessen, därför vill vi genomföra en amnesti för papperslösa.";"Immigration";"FAVOR"
"189";"sweden";"swe: Green Ecology Party";"barnets bästa ska sättas främst i all bedömning av flyktingärenden.";"Immigration";"FAVOR"
"190";"sweden";"swe: Green Ecology Party";"papperslösa ska ha rätt till vård och skola.";"Integration";"FAVOR"
"191";"sweden";"swe: Left Communists Party";"där intolerans";"Integration";"FAVOR"
"192";"sweden";"swe: Left Communists Party";"och rasism växer sig starkare.";"Integration";"NONE"
"193";"sweden";"swe: Left Communists Party";"Om fyra år ska Sverige vara ett mer demokratiskt samhälle.";"Integration";"FAVOR"
"194";"sweden";"swe: Left Communists Party";"I vår framtidsvision är samhället fritt från rasism";"Integration";"FAVOR"
"195";"sweden";"swe: Left Communists Party";"och Sverige har en human och rättssäker flyktingpolitik";"Immigration";"FAVOR"
"196";"sweden";"swe: Left Communists Party";"som uppfyller internationella konventioner.";"Integration";"NONE"
"197";"sweden";"swe: Left Communists Party";"Vi vill föra en utrikes och säkerhetspolitik för rättvisa.";"Immigration";"FAVOR"
