"text","cmp_code","eu_code"
"Economische zelfstandigheid van man en vrouw krijgt voorrang boven de opvoeding van kinderen.","603",NA
"De leefbaarheid van onze samenleving is ernstig aangetast.","603",NA
"Bodem, water en lucht, ten nutte van de mens geschapen, keren zich tegen de mens.","603",NA
"Wat God eenmaal goed schiep is door het optreden van de mens veelszins verworden.","603",NA
"Ieder zegt prioriteit toe te kennen aan de bescherming van natuur en milieu.","603",NA
"Maar als de rekening hiervan gepresenteerd wordt leidt dit tot de val van het kabinet.","603",NA
"Egoïsme en materialisme winnen het van een zorgvuldig beheer en een zinvolle ontwikkeling van het geschapene.","603",NA
"Zo is het voor velen geen leven meer in eigen land en elders, nu en straks.","603",NA
"Het karakter van onze samenleving wordt bedreigd.","603",NA
"De economische samenwerking in de Europese gemeenschappen wordt aangegrepen om te werken in de richting van een federaal Verenigd Europa, waarbij ook onderwijs- en mediabeleid, taal en cultuur en andere zaken die inhoud geven aan de politiek-culturele identiteit van onze samenleving steeds meer op Europees niveau geregeld zullen worden.","110",NA
"Daarmee wordt onze positie als vrij koninkrijk in Europa ingeruild voor die van een Europese deelstaat.","110",NA
"Het zijn deze ontwikkelingen die de overheid voor keuzen plaatsen.","305",NA
"Keuzen, die van grote betekenis zullen zijn voor de toekomst van onze samenleving.","305",NA
"Op die ontwikkelingen wil het GPV een antwoord geven.","305",NA
"Het wil daarbij de weg volgen, die God in de Bijbel heeft gewezen.","603",NA
"Hij is het die hemel en aarde met alles wat leeft en beweegt heeft ge- schapen.","603",NA
"Hij zorgt nog dagelijks voor Zijn schepping en houdt deze in stand tot de dag waarop Jezus Christus zal wederkomen.","603",NA
"Uit de Bijbel weten we ook van de opdracht die God aan de mens heeft gegeven om de aarde in Zijn dienst te beheren en te ontwikkelen (Gen.1:26-28) en van de normen die Hij daarbij heeft gesteld (met name in de Tien Geboden, Exodus 20 en Deut. 5).","603",NA
"Deze normen golden niet slechts voor een bepaalde tijd of plaats.","603",NA
"Ook voor vandaag en in Nederland geldt, dat het ieder zal wel gaan die handelt naar Gods geboden.","603",NA
"Het Spreukenboek brengt de gevolgen van de keuze van een volk scherp onder woorden door te zeggen dat gerechtigheid een volk verhoogt, maar dat zonde een schandvlek van de natie is.","603",NA
"En het Nieuwe Testament waarschuwt dat toorn van God zich van de hemel openbaart over alle goddeloosheid en ongerechtigheid van mensen.","603",NA
"Geen neutrale staat","H",NA
"Daarom kan het ook de overheid niet onverschillig laten of onze samenleving het schandvlek van de zonde draagt of kenmerken van de gerechtigheid.","603",NA
"Hoe mensen zich in hun particuliere leven opstellen tegenover Gods geboden raakt de overheid niet rechtsreeks.","603",NA
"Maar in haar eigen beleid moet zij een keuze maken tussen de publieke eer van God als eindelijke doelstelling òf meewerken aan de doorwerking van maatschappelijke ontwikkelingen die strijdig zijn met Gods geboden.","603",NA
"Veel mensen die in hun particuliere leven wel willen luisteren naar Gods geboden menen dat de overheid neutraal moet staan tegenover deze geboden.","603",NA
"Maar op die manier wordt het duidelijke spreken van de Bijbel over de overheid genegeerd.","603",NA
"Toen de apostel Paulus schreef dat de overheid in dienst van God staat deed hij dit in een tijd waarin de overheden het christelijk geloof verwierpen en tegenstonden (Rom. 13:4).","603",NA
"En in het Oude Testament, toen God alleen een bijzondere relatie had met het volk Israël, werden toch alle koningen der aarde opgeroepen Hem te dienen (Ps. 2:10-12).","603",NA
"Door de overheid neutraal te verklaren wordt de diepste betekenis van het ambt van de overheid miskend en wordt zij onmachtig de grote problemen van onze samenleving te helpen oplossen.","603",NA
"Een christelijke staat","H",NA
"Het GPV erkent de overheid als Gods dienares en vraagt van haar daarnaar te handelen.","603",NA
"Niet de neutrale staat maar een christelijke staat, waarin de geestelijke vrijheid van alle burgers verzekerd is, moet het doel zijn van de christelijke politiek.","603",NA
"Het GPV realiseert zich dat dit doel in onze geseculariseerde samenleving voorlopig een verwijderd perspectief zal blijven.","603",NA
"Ook de nationaal-christelijke politiek zal moeten meewerken aan compromissen als ze een - wellicht kleine stap in de goede richting betekenen.","603",NA
"Maar ze zal het doel moeten vasthouden.","603",NA
"Als het doel van de christelijke staat wordt losgelaten geeft de christelijke politiek zich al bij voorbaat gewonnen.","603",NA
"Als het doel echter wordt vastgehouden kan de nationaal- christelijke politiek ook in een geseculariseerde samenleving een kracht ten goede betekenen.","603",NA
"Zo heeft het GPV in de afgelopen jaren politiek bedreven.","305",NA
"Waar het kon werd het regeringsbeleid gesteund, niet zelden echter moest het worden afgewezen.","305",NA
"Eigen initiatieven van het GPV leidden tot concrete resultaten.","305",NA
"Zo wil het GPV doorwerken, zo mogelijk met versterkte kracht.","305",NA
"Kiezen voor een ommekeer","H",NA
"De noodzaak voor een ander beleid is onbetwistbaar aanwezig.","305",NA
"Het gaat om niet minder dan om een politieke ommekeer in nationaal-christelijke zin.","603",NA
"Zo'n ommekeer bereiken we niet in een handomdraai.","305",NA
"Daarvoor moeten we echter nu al keuzen maken, prioriteiten stellen.","305",NA
"Het GPV kiest daarom nu: -vóór het leven;","603",NA
"dus vóór levensbescherming van ongeboren kinderen en ernstig zieken en gehandicapten;","603",NA
"-vóór het milieu;","501",NA
"dus prioriteit voor milieu-investeringen boven belasting verlaging;","501",NA
"-vóór werkgelegenheid;","701",NA
"dus voorrang voor werk en scholing boven inkomen;","701",NA
"-vóór rechtshandhaving;","605",NA
"dus vóór een effectieve aanpak van de criminaliteit;","605",NA
"-vóór geestelijke vrijheid;","603",NA
"dus voor handhaving van de vrijheidsrechten van godsdienst en onderwijs die zulke diepe wortels in onze historie hebben;","603",NA
"-vóór samenwerking in zelfstandigheid;","603",NA
"dus voor handhaving van een vrij koninkrijk in Europa.","110",NA
"Kortom: vóór LEVEN, NU EN STRAKS,","603",NA
"Hoofdstuk I","H",NA
"DOOR RECHT TE DOEN","H",NA
"Recht doen is een opdracht voor alle mensen.","603",NA
"In de Bijbel heeft God er op tal van plaatsen aan herinnerd.","603",NA
"De profeet Micha vatte in één zin samen wat God van de mens vraagt: niet anders dan recht te doen en getrouwheid lief te hebben en ootmoedig te wandelen met uw God (Micha 6:8).","603",NA
"God heeft als Schepper van hemel en aarde ook alle recht dit van de mens te vragen.","603",NA
"Maar evenals vroeger moet ook in onze tijd vaak geconstateerd worden: Hij verwachtte rechtsbetrachting, maar zie, het was rechtsverkrachting (Jes. 5:7).","603",NA
"Het GPV zegt met de kerk van alle tijden en plaatsen dat onze goede God overheden geschonken heeft, die zowel landelijk als provinciaal en plaatselijk haar ambt uitoefenen.","603",NA
"Van haar geldt dat zij rechtsregels moeten stellen en handhaven om onrecht in de openbare samenleving te voorkomen en te bestrijden en om een goede ontwikkeling van de samenleving te bevorderen.","605",NA
"In onze huidige samenleving staan te vaak onschuldigen machteloos tegenover crimineel gedrag en gaan schuldigen vrijuit.","605",NA
"Dan draagt de overheid het zwaard kennelijk tevergeefs.","605",NA
"Het is daarom dringend nodig, dat de overheid weer ernst maakt met de uitoefening van haar ambt.","605",NA
"Niet alle regels behoeven echter met behulp van politie en justitie gehandhaafd te worden.","606",NA
"Burgers, bedrijfsleven en organisaties hebben hierin een eigen verantwoordelijkheid.","606",NA
"Maar wat de overheid met straf bedreigt moet ook daadwerkelijk gestraft worden.","605",NA
"Het ambt van de overheid is beperkt tot de openbare burgerlijke samenleving.","605",NA
"Zij moet daarom de vrijheid van de kerk om haar arbeid te ver- richten verzekeren en de vrijheidsrechten van alle burgers en maatschappelijke organisaties respecteren.","603",NA
"CONSTITUTIONELE MONARCHIE","H",NA
"1.Het GPV aanvaardt met dankbaarheid de constitutionele monarchie onder het Huis van Oranje als een gave van God, welke van blijven- de staatkundige betekenis is.","203",NA
"Zij moet worden beschermd tegen tendensen om het koningschap uit te hollen in de richting van een puur symbolische functie.","203",NA
"Dit is met name actueel in verband met de groeiende Europese samen- werking.","110",NA
"Onze constitutionele monarchie behoort niet bij een deelstaat maar bij een vrij koninkrijk in Europa.","203",NA
"KABINETSFORMATIE","H",NA
"2.De koningin belast één of meer personen met de formatie van een kabinet.","203",NA
"De inschakeling van een informateur verdient als regel geen aanbeveling.","204",NA
"Zijn staatsrechtelijke positie is onduidelijk, terwijl hij in de praktijk veel taken vervult welke door een formateur behoren te worden vervuld.","204",NA
"De formateur pleegt over het te voeren beleid en de kandidaat-ministers overleg met onder meer de voorzitters van de beoogde regeringsfracties.","203",NA
"Dit mag er echter niet toe leiden dat laatstgenoemden feitelijk een bindende voordracht van kandidaat-ministers doen.","203",NA
"De opstelling van een regeerakkoord op hoofdpunten behoort tot de verantwoordelijkheid van de formateur, zo mogelijk in overleg met de kandidaatministers.","203",NA
"De steeds vaker gehoorde opvatting dat de minister-president afkomstig zou moeten zijn uit de grootste regeringspartij is niet in het belang van de regering van het land.","203",NA
"In onze staatsrechtelijke verhoudingen is de minister-president geen regeringsleider maar de eerste onder zijns gelijken.","203",NA
"Dit moet in rekening worden gebracht onder meer in het overleg tussen regering en Staten-Generaal en bij het optreden namens Nederland in het buitenland.","203",NA
"FUNCTIONELE DECENTRALISATIE","H",NA
"3.Op het terrein van de functionele decentralisatie is een ondoorzichtige situatie ontstaan.","302",NA
"Onderscheiden dient te worden tussen overheidslichamen met een specifieke taak en privaatrechtelijke organen en instellingen welke mede overheidstaken behartigen.","302",NA
"Nagegaan moet worden welke organen en instellingen dergelijke taken mede behartigen.","302",NA
"Heroverweging van taken moet geschieden met als uitgangspunt dat specifieke overheidsbevoegdheden zoals het vaststellen van bindende regels en het heffen van belastingen slechts worden uitgeoefend door lichamen welke functioneren onder politieke verantwoordelijkheid van een of meer ministers.","302",NA
"GEMEENTEN EN PROVINCIES","H",NA
"4.De totstandkoming van een nieuwe Gemeentewet en Provinciewet vormt een goede gelegenheid om de autonomie van gemeenten en provincies te bevestigen.","301",NA
"De rijksoverheid bevordert voorts de decentralisatie van bestuur door gemeenten en provincies taken in medebewind toe te kennen, welke zij in zo groot mogelijke vrijheid uitoefenen.","301",NA
"Door middel van experimenten kunnen decentralisatie en deregulering bevorderd worden.","301",NA
"Het preventieve toezicht op gemeenten en provincies wordt zoveel mogelijk beperkt.","301",NA
"Van gemeenten en provincies mag worden verwacht, dat zij zich niet mengen in zaken die tot de verantwoordelijkheid van de rijksoverheid behoren.","301",NA
"Gemeenten en provincies kunnen specifieke relaties onderhouden met lokale en regionale overheden in het buitenland, maar mogen het Nederlandse buitenlandse beleid niet doorkruisen of belemmeren.","301",NA
"Het rijk maakt zich sterk voor de totstandkoming van bestuursakkoorden met de Vereniging van Nederlandse Gemeenten en het interprovinciaal Overleg.","301",NA
"Daarin ligt de nadruk op procedurele en financiële waarborgen voor gemeenten en provincies.","301",NA
"Daarnaast kunnen afzonderlijke overeenkomsten worden aangegaan met gemeenten en provincies die in specifieke omstandigheden verkeren.","301",NA
"STEDELIJKE AGGLOMERATIES","H",NA
"5.De grote steden in het algemeen en die in de Randstad in het bijzonder vervullen een belangrijke functie voor een groter gebied.","301",NA
"Deze functie kan steeds moeilijker worden vervuld door een steeds eenzijdiger wordende bevolkingsopbouw van veel grote steden.","302",NA
"Daardoor zijn de leefbaarbeid en het maatschappelijk en economisch draagvlak verminderd.","302",NA
"Om deze gemeenten in staat te stellen hun regionale en nationale functie - mede in concurrentie met grote steden elders in West-Europa - te vervullen dienen extra maatregelen te worden getroffen,","301",NA
"onder meer in het belang van de stadsvernieuwing,","411",NA
"ter bestrijding van de werkloosheid onder jongeren en minderheidsgroepen","701",NA
"en om de criminaliteit tegen te gaan.","605",NA
"De grote steden kunnen veel van hun problemen alleen oplossen in nauwe samenwerking met andere tot dezelfde agglomeratie behorende gemeenten.","302",NA
"De Wet gemeenschappelijke regelingen, aangevuld met extra mogelijkheden van verplichte samenwerking, biedt hiervoor het kader.","302",NA
"Voorkomen moet worden dat stedelijke agglomeraties feitelijk een extra bestuurslaag gaan vormen of gaan functioneren als een provincie binnen een provincie.","302",NA
"GEMEENTELIJKE HERINDELING","H",NA
"6.Streeksgewijze herindeling van gemeenten is geen doel in zichzelf, maar een instrument ter opheffing van bestuurlijke en ruimtelijke knelpunten in die gebieden die met belangrijke wijzigingen in hun structuur te maken krijgen.","301",NA
"Met name de taak en functie van het betrokken gebied bepalen de omvang van nieuw te vormen gemeenten.","301",NA
"Agglomeratievraagstukken dienen als regel niet door samenvoeging van gemeenten te worden opgelost, maar door intensieve en effectieve samenwerking.","301",NA
"Grenswijziging of samenvoeging kan echter de voorkeur verdienen als een gemeente onmisbaar is voor de vervulling van belangrijke ruimtelijke functies ten behoeve van de agglomeratie.","302",NA
"OVERHEID EN KERK","H",NA
"7.Kerk en staat hebben beide een zelfstandige roeping in dienst van God.","603",NA
"Met het oog daarop behoren kerk en staat van elkaar gescheiden te zijn, maar zijn beide in de uitoefening van haar ambt aanspreekbaar op de normen van de Bijbel.","603",NA
"De overheid ziet erop toe, dat de kerk haar ambtelijke arbeid in volle vrijheid kan verrichten.","603",NA
"Dat geldt ook ten opzichte van personen die als gevolg van militaire dienst of van detentie onder directe zorg van de overheid vallen.","603",NA
"De huidige geestelijke verzorging in de krijgsmacht dient te worden gesplitst in vormingswerk dat onder verantwoordelijkheid en voor rekening van de overheid wordt verricht en godsdienstige zorg welke door en voor rekening van de kerken wordt verleend.","603",NA
"Deze laatste vorm van geestelijke verzorging kan ten behoeve van militairen die daaraan de voorkeur geven eveneens onder gelijke voorwaarden worden verleend door verzorgers vanuit andere levensbeschouwelijke of religieuze organisaties.","603",NA
"Vooruitlopend op een dergelijke splitsing van de geestelijke verzorging dient geen principiële wijziging te worden gebracht in het systeem van verdeling van formatieplaatsen.","603",NA
"Met name een systeem van behoeftemeting, waarbij de persoonlijke voorkeur van de militairen bepalend is voor de verdeling, kan niet worden toegepast zolang niet duidelijk wordt onderscheiden tussen rnaatschappelijke zorgverlening en religieuze verzorging.","603",NA
"Subsidiëring door de overheid van kerkelijk werk en van geestelijke vorming vanwege niet-kerkelijke genootschappen moet als strijdig met de scheiding van kerk en staat worden afgewezen.","603",NA
"Daarvan dient de bekostiging van algemeen maatschappelijke functies zoals onderwijs, maatschappelijke zorg en jeugdwerk duidelijk te worden onderscheiden, ook als deze verzorgd worden op levensbeschouwelijke grondslag of ten behoeve van leden van een bepaalde godsdienstige groepering.","603",NA
"De bouw, inrichting en instandhouding van kerkgebouwen en andere daarmee vergelijkbare gebouwen behoort tot de verantwoordelijkheid van de desbetreffende kerken en genootschappen.","603",NA
"Overheidssteun dient daarbij niet te worden verleend.","603",NA
"Een uitzondering wordt gemaakt voor de instandhouding van door de overheid aangewezen beschermde monumenten.","502",NA
"OVERHEID EN INDIVIDU","H",NA
"8 Ieder mens is een uniek schepsel van God met eigen capaciteiten en taken.","603",NA
"Daarom heeft ieder recht op bescherming van zijn leven en gezondheid.","603",NA
"Hij is echter niet voor zichzelf geschapen maar samen met anderen geroepen tot dienst aan God en de medemens.","603",NA
"De voortgaande individualisering miskent deze roeping en leidt tot functieverlies voor het gezin en de maatschappelijke verbanden waarin de mens leeft.","603",NA
"De overheid dient deze ontwikkeling naar vermogen tegen te gaan, onder meer door: -handhaving van de wettelijke erkenning van het huwelijk zonder juridische gelijkstelling met andere samenlevingsvormen;","603",NA
"-geen adoptie of kunstmatige bevruchting buiten het huwelijk mogelijk te maken of te erkennen;","603",NA
"-handhaving van het recht op kostwinnerstoeslagen in de sociale zekerheid;","504",NA
"-handhaving van de volledige AOW-uitkering voor gehuwden als de echtgenoot nog geen 65 jaar is;","504",NA
"-afwijzing van het streven naar volledige ouderonafhankelijkheid bij de studie financiering.","505",NA
"GEESTELIJKE VRIJHEID","H",NA
"9.De overheid moet de geestelijke vrijheid van alle burgers waarborgen.","201",NA
"De vrijheid van godsdienstig belijden en de daaruit voortvloeiende vrijheden van meningsuiting, van onderwijs en van vereniging en vergadering vormen de kern van de geestelijke vrijheid.","201",NA
"Essentieel voor de geestelijke vrijheid is niet alleen het recht om individueel overeenkomstig eigen overtuiging te denken en te leven","201",NA
"maar ook het recht van organisaties op levensbeschouwelijke grondslag een beleid te voeren overeenkomstig deze grondslag.","201",NA
"Subsidiëring door de overheid vormt geen reden hierop inbreuk te maken.","201",NA
"DISCRIMINATIE","H",NA
"10.De overheid behoort elk ongerechtvaardigd onderscheid tussen burgers b.v. in haar benoemingsbeleid achterwege te laten.","503",NA
"Zij treedt op tegen publieke uitingen van onverdraagzaamheid of haat tegen groepen burgers en beschermt de slachtoffers ervan.","503",NA
"Met een Algemene wet gelijke behandeling waarin de vrijheidsrechten van burgers worden beperkt met het oog op een gelijke behandeling van burgers onderling en in particuliere organisaties overschrijdt de overheid haar bevoegdheid.","201",NA
"Kenmerkend voor de geestelijke vrijheid is immers dat burgers overeenkomstig eigen overtuiging mogen onderscheiden tussen goed en kwaad, ook als dit gevolgen heeft voor hun opstelling tegenover anderen.","201",NA
"Indien dit leidt tot discriminatie van burgers kan de rechter daarover op grond van de geldende wetgeving en internationale verdragen oordelen.","201",NA
"Niet is aangetoond dat naast de bestaande bepalingen in Grondwet en wet een Algemene wet gelijke behandeling nodig is.","203",NA
"Het in 1988 ingediende wetsvoorstel is er niet in geslaagd regels te formuleren welke de klassieke vrijheidsrechten respecteren en dient ook om deze reden te worden afgewezen.","203",NA
"GEWETENSBEZWAREN","H",NA
"11.In een samenleving waarin steeds minder gerekend wordt met normen ontleend aan de Bijbel worden individuele burgers steeds vaker geconfronteerd met handelingen en gebeurtenissen waarvoor zij in geweten persoonlijk geen verantwoordelijkheid kunnen aanvaarden.","603",NA
"De ontwikkelingen in de gezondheids-zorg vormen hiervan het meest actuele voorbeeld.","603",NA
"Omdat de overheid zelf deze ontwikkelingen mede heeft bevorderd behoort het tot haar taak door middel van wetgeving te verzekeren dat aan gewetensbezwaren tegemoet gekomen wordt zonder dat dit voor de betrokkenen nadelige gevolgen heeft voor de uitoefening van hun functie of voor hun rechtspositie.","603",NA
"OVERHEID EN SAMENLEVING","H",NA
"12.Ieder mens draagt persoonlijk verantwoordelijkheid tegenover God en zijn medemens.","603",NA
"De overheid behoort die verantwoordelijkheid te erkennen door terughoudend te zijn met regelgeving inzake het functioneren van burgers onderling.","606",NA
"De ontkerstening van onze samenleving heeft echter mede geleid tot een eenzijdige nadruk op het individu, waardoor het besef van verantwoordelijkheid voor elkaar en voor de samenleving als geheel ernstig is uitgesleten.","606",NA
"Op de overheid rust de taak voor haar deel te werken aan de ontwikkeling van de samenleving in dienst van God en bescherming te bieden aan hen die in een geïndividualiseerde samenleving zwak staan.","603",NA
"In een streven naar grotere eigen verantwoordelijkheid van maatschappelijke organisaties past het afzien en beëindigen van wetgeving inzake het democratisch functioneren van scholen en andere gesubsidieerde instellingen.","606",NA
"De hoogte van het minimum loon en de minimum uitkeringen vormen echter voorbeelden van zaken welke een verantwoordelijkheid van de wetgever dienen te blijven.","701",NA
"VERMAATSCHAPPELIJKING","H",NA
"13.Een streven naar vermaatschappelijking, waarbij overheid en maatschappelijke organisaties gezamenlijk verantwoordelijk zijn, moet duidelijk onderscheiden worden van een beleid gericht op meer erkenning voor de eigen verantwoordelijkheid van burgers en hun organisaties.","606",NA
"Zgn. tripartite bestuursvormen, waarbij vertegenwoordigers van de overheid en van organisaties van werkgevers en werknemers gezamenlijk het beleid bepalen, miskennen de eigen betekenis van het ambt van de overheid en kunnen onduidelijkheid scheppen over de functie van de betrokken organisaties.","303",NA
"Adviezen van en overleg met maatschappelijke organisaties kunnen echter van grote betekenis zijn voor de ontwikkeling van de samenleving.","606",NA
"PUBLIEKRECHTELIJKE BEDRIJFSORGANISATIE","H",NA
"14.De publiekrechtelijke bedrijfsorganisatie is aan heroverweging toe.","303",NA
"De principiële bezwaren tegen vermenging van overheidsbevoegdheden en belangenbehartiging blijken steeds meer tot praktische problemen te leiden.","303",NA
"Vermindering van de betrokkenheid van de rijksoverheid bij de publiekrechtelijke bedrijfsorganisatie komt niet aan de bezwaren tegemoet.","303",NA
"In plaats daarvan dient te worden nagegaan hoe publiekrechtelijke bedrijfsorganen kunnen worden omgezet in privaatrechtelijke organen.","303",NA
"ARBEIDSVOORWAARDEN EN COLLECTIEVE ACTIES","H",NA
"15.De erkenning van de vrijheid van onderhandelen van werkgevers en werknemers vormt ook het uitgangspunt voor het arbeidsvoorwaardenoverleg bij de overheid.","701",NA
"De proef met een model voor een meer gelijkwaardig overlegstelsel dient na evaluatie te leiden tot een wettelijke regeling terzake.","303",NA
"Voorts is het van belang, dat binnen de verschillende onderdelen van de rijksdienst en bij de andere overheden een meer decentraal overleg kan worden gevoerd.","301",NA
"Het recht op collectieve actie wordt te veel als een gegeven beschouwd bij geschillen over arbeidsvoorwaarden.","701",NA
"In het ontwikkelen van conflictregulerende mechanismen zoals bemiddeling en arbitrage kan de overheid een stimulerende rol vervullen.","701",NA
"In ieder geval moet zij erop toezien, dat werkwilligen niet gehinderd worden en dat het openbare leven niet wordt verstoord.","701",NA
"Daarom is het onjuist dat de overheid de ontwikkeling van het collectieve actierecht volledig overlaat aan de rechter.","302",NA
"De wetgever moet thans ten spoedigste regelen stellen om te voorkomen dat de uitoefening van essentiële overheidstaken dan wel een vitaal onderdeel van de samenleving zoals de gezondheidszorg door collectieve actie kan worden belemmerd.","302",NA
"De overheid mag niet toestaan dat politiepersoneel en andere ambtenaren, die betrokken zijn bij de handhaving van de openbare orde, in uniform actie tegen de overheid voeren.","302",NA
"HUWELIJK","H",NA
"16. Bij de schepping heeft God het huwelijk van man en vrouw ingesteld.","603",NA
"De publieke betekenis ervan voor onze tijd komt tot uitdrukking in de wettelijke regeling van het huwelijk en van de rechtsgevolgen ervan.","603",NA
"Andere samenlevingsvormen, waartoe burgers in eigen verantwoordelijkheid besluiten, mogen niet op één lijn worden gesteld met het huwelijk.","603",NA
"Een systeem van officiële erkenning of registratie van dergelijke samenlevingsvormen, leidende tot met het huwelijk vergelijkbare rechten en plichten, wordt dan ook afgewezen.","603",NA
"De huidige echtscheidingswetgeving is niet gericht op herstel van geschonden verhoudingen, maar op ontbinding.","603",NA
"Het Burgerlijk Wetboek moet zo worden herzien, dat de blijvende taak van man en vrouw ten opzichte van elkaar en hun kinderen het uitgangspunt wordt.","603",NA
"Wettelijke limitering van alimentatieverplichtingen in de tijd past hier niet bij.","603",NA
"GEZIN","H",NA
"17. De overheid behoort in haar beleid uit te gaan van de grote betekenis van een goed gezinsleven voor de toekomst van onze samenleving.","603",NA
"Daartoe bevordert zij dat ouders hun kinderen zoveel mogelijk zelf kunnen opvoeden.","603",NA
"Elke dwang of drang om de opvoeding van kinderen te combineren met beroepsarbeid door beide echtgenoten wordt dan ook afgewezen.","603",NA
"In de kosten van kinderopvang buiten gezinsverband draagt de overheid slechts bij als er sprake is van een medische of sociale nood- zaak of als een alleenstaande ouder door het verrichten van werk buitenshuis zoveel mogelijk in eigen levensonderhoud wil voorzien.","505",NA
"Ouderschapsverlof dient naar keuze van de ouders te kunnen worden opgenomen door beide ouders of door één van beiden.","503",NA
"Een geleidelijke verhoging van de kinderbijslag en de invoering van een splitsingsstelsel bij de loon- en inkomstenbelasting behoren tot een gezinsvriendelijk beleid.","504",NA
"Indien in een gezin sprake is van verstoorde verhoudingen moet een beroep kunnen worden gedaan op deskundige hulpverlening of op een vertrouwenspersoon.","504",NA
"Als minderjarigen het ouderlijk huis verlaten en zich bij hulpverleners melden dienen deze de kinderrechter onverwijld te informeren en moet het beleid erop zijn gericht ouders en kind weer te verenigen.","603",NA
"ALLEENSTAANDEN","H",NA
"18. Alleenstaanden hebben evenals gezinnen aanspraak op wettelijke bescherming van hun positie.","503",NA
"Zij hebben, wanneer zij het ouderlijk huis ontgroeid zijn of daar door werk of studie niet langer kunnen blijven, recht op zelfstandige woonruimte.","503",NA
"Voorstellen voor verdergaande individualisering binnen de sociale zekerheid en de belastingwetgeving leiden lot een relatieve verslechtering van de positie van alleenstaanden en dienen mede daarom te worden afgewezen.","603",NA
"RECHTSORDE","H",NA
"19. In de loop der jaren is een onaanvaardbare afstand ontstaan tussen de wet en de rechtspraktijk.","605",NA
"Politie en justitie zijn niet bij machte de naleving van wettelijke voorschriften te verzekeren.","605",NA
"De pakkans bij het plegen van delicten is gering, terwijl de berechting en de tenuitvoerlegging van straffen te veel tijd vergen.","605",NA
"Zowel de veel voorkomende criminaliteit als de vaak internationaal opererende zware criminaliteit tasten als gevolg daarvan de openbare veiligheid ernstig aan.","605",NA
"Herstel en handhaving van de rechtsorde moet dan ook door maatregelen op een breed terrein extra prioriteit verkrijgen.","605",NA
"Als onderdeel daarvan moeten de uitgaven voor politie en justitie structureel worden verhoogd met omstreeks 500 miljoen gulden.","605",NA
"VOORKOMEN VAN CRIMINALITEIT","H",NA
"20. Versterking van het normbesef in de samenleving is de beste vorm van voorkoming van criminaliteit.","603",NA
"Daarnaast moet in brede kring het besef groeien, dat de handhaving van de rechtsorde door politie en justitie niet los gezien kan worden van de eigen verantwoordelijkheid van iedere burger om criminaliteit naar vermogen te voorkomen en te bestrijden.","606",NA
"De overheid kan dit onder meer bevorderen door te pogen de aangiftebereidheid van de burgers te vergroten.","606",NA
"Daarnaast kan de criminaliteit worden tegengegaan door middel van experimenten met aanstelling van huismeesters van flatgebouwen en controleurs bij het openbaar vervoer.","606",NA
"Bevorderd moet worden dat bedrijven zelf zorg dragen voor de beveiliging van hun gebouwen en installaties.","606",NA
