party,content,target,stance
nld: Christian Democratic Appeal,Wie te vrezen heeft voor vervolging verdient asiel.,Immigration,FAVOR
nld: Christian Union,Het Statuut voor het Koninkrijk en de Grondwet kunnen hierbij een belangrijke rol spelen.,Integration,FAVOR
nld: Party of Freedom,Bevorderen vrijwillige remigratie,Immigration,AGAINST
nld: People’s Party for Freedom and Democracy ,"Wordt via frauduleuze ingrepen toch een beroep op de bijstand gedaan, dan zal de verblijfsvergunning worden ingetrokken.",Integration,AGAINST
nld: Labour Party,"Alle burgers, inclusief immigranten, mogen rekenen op vrijwaring van discriminatie",Integration,FAVOR
nld: Green Left,Voor de 26.000 asielzoekers uit de oude asielwet komt er alsnog een generaal pardon.,Integration,FAVOR
nld: Christian Union,In veel gevallen ligt de oorzaak in een inkomen dat te klein is om alle noodzakelijke kosten te betalen.,Integration,NONE
nld: Democrats‘66,‘Expats’ lopen bij het verlengen van hun contract of het veranderen van baan binnen Nederland onnodig risico op het verliezen van een verblijfsvergunning.,Immigration,AGAINST
nld: Christian Democratic Appeal,internationale afspraken die verhinderen dat vluchtelingen jarenlang in kampen verblijven.,Immigration,FAVOR
nld: Reformed Political Party,Dat uitgangspunt verplicht tot het bestrijden van achterstelling en onrecht.,Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,Arbeidsparticipatie is de beste weg tot integratie.,Integration,FAVOR
nld: Christian Democratic Appeal,Daarnaast worden de mogelijkheden voor een diploma-eis onderzocht.,Integration,AGAINST
nld: Party of Freedom,"Bij de massa-immigratie: immigratiestop voor mensen uit islamitische landen,",Immigration,AGAINST
nld: Green Left,"15. Toegelaten partners kunnen na een jaar onafhankelijk  verblijfsrecht krijgen, dat na 2 jaar permanent wordt, of  eerder als er sprake is van fysiek of psychisch geweld,  seksueel misbruik of overlijden van de partner.",Integration,FAVOR
nld: Green Left,Inburgeringscursussen moeten aan kwaliteitseisen voldoen.,Integration,NONE
nld: Green Left,Vreemdelingendetentie voor uitgeprocedeerde asielzoekers mag slechts van zeer beperkte duur  zijn; er moet zicht zijn op uitzetting.,Immigration,AGAINST
nld: Green Left,"40. Om te bevorderen dat afgewezen asielzoekers terugkeren, sluit Nederland terugkeerovereenkomsten met  veilige herkomstlanden, liefst in EU-verband.",Immigration,AGAINST
nld: Christian Union,"Het Mensenrechtenfonds wordt ingezet om een bijdrage te leveren aan vermindering van religieus geweld, het stimuleren van samenwerking en het faciliteren van projecten gericht op verzoening.",Integration,FAVOR
nld: Christian Union,"Christenen, islamieten, hindoes, humanisten, joden, bahai’s en soefi’s hebben voor elkaar en aan elkaar de vrijheid verklaard om hun eigen godsdienst en levensovertuiging te huldigen en uit te dragen en die van anderen de verdragen.",Integration,FAVOR
nld: Labour Party,"Een land als Nederland, dat de mensenrechten hoog in het vaandel heeft staan, stuurde asielzoekers terug naar onveilige landen, sloot kinderen op in gevangenissen, zette gezinnen zonder pardon op straat en stuurde volledig geïntegreerde asielzoekers na vijftien jaar wachten terug naar een ondertussen vreemd land.",Immigration,FAVOR
nld: Reformed Political Party,"Dat vergde en vergt veel aanpassingen, vooral van degenen die tot dan toe dachten dat wie eenmaal ‘binnen’ was figuurlijk evenééns binnen was.",Integration,FAVOR
nld: Green Left,"Rekening houdend met de belangen van ontwikkelingslanden, wordt er voor arbeidsmigranten van buiten de Europese Unie sneller een tijdelijke arbeidsvergunning verstrekt bij onvoldoende Nederlands (of Europees) arbeidsaanbod.",Immigration,FAVOR
nld: Christian Democratic Appeal,"Het biedt jongeren en minderheden leer- en stageplekken, zorgt voor bestendige sociale verhoudingen.",Integration,FAVOR
nld: Reformed Political Party,De afgelopen jaren hebben we bovendien te maken gehad met radicalisering onder moslims.,Integration,AGAINST
nld: Christian Democratic Appeal,"Bij beroep op de bijstand wordt het verblijfsrecht beëindigd, behalve bij vluchtelingen.",Immigration,AGAINST
nld: Christian Democratic Appeal,"De visaverlening aan buitenlandse werknemers van Nederlandse bedrijven, en aan hun familie, en aan bona fide buitenlandse zakenlieden moet zodanig verbeterd worden dat zij geen nodeloze barrière in het internationale zakenverkeer oplevert.",Immigration,FAVOR
nld: Reformed Political Party,"De AIVD en anderen, waaronder ook de moslimgemeenschap zelf, moeten alert blijven op radicalisering, met name onder jongeren.",Integration,AGAINST
nld: Democrats‘66,"Want schooluitval kent vele oorzaken, niet alleen de culturele of sociale achtergrond van de scholier.",Integration,NONE
nld: Democrats‘66,Tevens weten we nooit waarvoor die vinderafdrukken in de toekomst wellicht ooit gebruikt gaan worden.,Immigration,NONE
nld: People’s Party for Freedom and Democracy ,De VVD maakt zich in het bijzonder zorgen over sommige islamitische scholen die de integratie van moslims tegenwerken.,Integration,AGAINST
nld: Democrats‘66,"Dat daar waar meerderheidsbesluitvorming in de Raad mogelijk is, bijvoorbeeld waar het gaat om asielbeleid en immigratie, dit in combinatie met een uitbreiding van de bevoegdheden van het Europees Parlement ook tot stand komt.",Immigration,NONE
nld: Democrats‘66,"Van iedere burger wordt naar vermogen een bijdrage aan de samenleving gevraagd, zonder daarbij uit te gaan van een éénvormige identiteit.",Integration,AGAINST
nld: Party of Freedom,Registratie van dubbele nationaliteiten,Integration,AGAINST
nld: Christian Union,"Door gezamenlijke culturele en sportieve activiteiten te organiseren, komen kinderen met verschillende achtergronden spelenderwijs met elkaar in aanraking.",Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,"Wie het examen Nederlandse taal niet aflegt of niet met succes afrondt, verliest zijn verblijfsrecht, krijgt geen toegang tot de bijstand of wordt op de bijstand gekort.",Integration,AGAINST
nld: Christian Democratic Appeal,het ontwikkelen van een gemeenschappelijk Europees beleid ten aanzien van immigratie.,Immigration,AGAINST
nld: Socialist Party,En de samenleving moet een goede integratie mogelijk maken.,Integration,FAVOR
nld: Party for the Animals,"Waar hoge geboortecijfers, werkloosheid en armoede de oorzaken van immigratie zijn, dient de overheid deze oorzaken internationaal te bestrijden via hulp, voorlichting en internationale verdragen.",Immigration,NONE
nld: Christian Union,Het inburgeringsexamen toetst ook de kennis van centrale Nederlandse waarden zoals onze politieke en religieuze vrijheden.,Integration,AGAINST
nld: Green Left,"Onze buren komen uit Turkije of Marokko, maar ook uit Engeland of Duitsland.",Immigration,FAVOR
nld: Christian Union,"Nederland zet zich, op basis van het Vluchtelingenverdrag, in voor het bereiken van duurzame oplossingen voor de vluchtelingenproblematiek en stelt vanuit het budget van Ontwikkelingssamenwerking per jaar een substantieel bedrag aan de UNHCR beschikbaar.",Immigration,NONE
nld: Labour Party,"De afgelopen jaren is de polarisatie en discriminatie toegenomen, waardoor soms zelfs goed geïntegreerde nieuwkomers zich van de Nederlandse samenleving hebben afgekeerd.",Integration,AGAINST
nld: Labour Party,"Ook gaan we de mogelijkheden onderzoeken om het fenomeen van herhaalde huwelijksmigratie, waarbij een man met grote regelmaat nieuwe vrouwen laat overkomen uit het land van herkomst, aan te pakken.",Immigration,AGAINST
nld: Democrats‘66,Daarin staat dat mensen in gelijke situaties gelijk moeten worden behandeld.,Integration,FAVOR
nld: Christian Union,Multiculturele kerken hebben bijvoorbeeld een belangrijke positieve functie voor veel nieuwe bevolkingsgroepen.,Integration,FAVOR
nld: Green Left,Dankzij honderdduizend migrantenjongeren in het hoger onderwijs kan Nederland een kennisland worden.,Integration,FAVOR
nld: Party of Freedom,"Nederlandse nationaliteit pas na tien jaar rechtmatig verblijf in Nederland, mits geen strafblad",Integration,AGAINST
nld: People’s Party for Freedom and Democracy ,"Dan  kunnen  bijvoorbeeld  scholen geen beroep meer doen op de vrijheid van  onderwijs  of  religie  om,  zeg, een  homoseksuele  docent  of  een  islamitische  stagiaire  te  weren.",Integration,FAVOR
nld: Christian Union,"Er wordt naar gestreefd niet alleen de eerste opvang maar ook de beoordeling van het vluchtverhaal (de asieltoets) plaats te laten vinden in de eigen regio, bij voorkeur in opvangcentra onder beheer van de Verenigde Naties.",Immigration,NONE
nld: Christian Union,Op Europees niveau moet er een gezamenlijke asielprocedure komen met goede waarborgen voor zorgvuldigheid.,Immigration,FAVOR
nld: Christian Union,Kennis van de Grondwet draagt bij aan een goede  integratie in de Nederlandse rechtsstaat.,Integration,FAVOR
nld: Socialist Party,In Nederland moet iedere inwoner gelijkwaardige kansen krijgen.,Integration,FAVOR
nld: Labour Party,Maar de PvdA stelt daarbij de eis dat de partner in Nederland zijn nieuwe partner zelf moet kunnen onderhouden; de extra verhoogde inkomenseis wordt daartoe verlaagd naar het oude aan de bijstand gekoppelde niveau.,Immigration,AGAINST
nld: People’s Party for Freedom and Democracy ,De VVD wil dat er een eind komt aan het categoriale beschermingsbeleid op grond waarvan personen die tot bepaalde groepen behoren of uit bepaalde landen of regio’s afkomstig zijn zich verzekerd weten van een verblijfsvergunning ‘asiel’.,Immigration,AGAINST
nld: Socialist Party,en hard op te treden tegen discriminatie.,Integration,FAVOR
nld: Christian Union,"De leges voor verblijfsvergunningen worden verlaagd, zodat zij het uitoefenen van het gezinsleven niet meer belemmeren.",Immigration,AGAINST
nld: Socialist Party,"Inburgering moet maatwerk zijn, dicht bij huis, in de buurt.",Integration,AGAINST
nld: People’s Party for Freedom and Democracy ,Nog steeds komen er kansarme immigranten ons land binnen.,Immigration,AGAINST
nld: Labour Party,"Gezinnen worden niet gescheiden uitgezet, kinderen worden niet opgesloten in de cel, er wordt niet geleurd met gezinnen met schoolgaande kinderen en asielzoekers in procedure worden opgevangen.",Immigration,AGAINST
nld: Christian Union,De inspanningen voor de leefbaarheid van onze samenleving vragen nu wel een kritische blik naar de instroom van nieuwkomers in ons land.,Immigration,AGAINST
nld: Christian Union,"Deze staat verdient daarom vanwege historische en morele argumenten politieke steun, met inachtneming van internationale rechtsbeginselen.",Integration,FAVOR
nld: Labour Party,"Het versterken van dat wat we gemeenschappelijk hebben, draagt bij aan vitale gemeenschappen.",Integration,FAVOR
nld: Socialist Party,Vreemdelingen horen niet te worden bewaard op zogenoemde ‘bajesboten’.,Immigration,FAVOR
nld: Green Left,"De bestaande ministeries worden samengevoegd  tot acht departementen, met een beperkt aantal  managementlagen: a) Algemene en Binnenlandse Zaken, waaronder Europese  Zaken; b) Justitie en Vreemdelingenzaken; c) Duurzaamheid en Ruimte; d) Financiën en Economische Zaken; e) Internationale Samenwerking; f)  Onderwijs, Cultuur en Jeugd; g) Werk, Sociale Zaken en Emancipatie; h) Zorg en Welzijn.",Immigration,NONE
nld: Green Left,Dat is zo on-Nederlands.,Integration,AGAINST
nld: Christian Union,"10.000 participatiebanen in de publieke sector te creëren, waardoor de kwaliteit van dienstverlening omhoog kan (bijvoorbeeld conciërges op scholen).",Integration,FAVOR
nld: Christian Democratic Appeal,Re-integratie en arbeidsmarktbeleid komen zo in één hand.,Integration,FAVOR
nld: Party of Freedom,Kraakverbod,Integration,AGAINST
nld: Green Left,"De 26.000 uitgeprocedeerde asielzoekers die al jaren in Nederland zijn, krijgen alsnog een verblijfsvergunning.",Integration,FAVOR
nld: Labour Party,Alle nieuwe asielaanvragen dienen binnen zes maanden te worden afgehandeld.,Immigration,AGAINST
nld: Green Left,"GroenLinks wil dat probleemgezinnen stevige begeleiding krijgen en dat straf niet alleen vergelding is, maar ook het begin van een opleiding of werk.",Integration,FAVOR
nld: Christian Democratic Appeal,In laatste instantie moet doormigratie een optie zijn.,Immigration,AGAINST
nld: Christian Union,"Nederland heeft vanuit zijn positie van welvaart en stabiliteit een extra verantwoordelijkheid om zich in te zetten voor veiligheid, de wereldwijde milieuproblematiek en vluchtelingenvraagstukken.",Immigration,FAVOR
nld: Green Left,De Poolse migrant die een delicatessenwinkel opent.,Integration,FAVOR
nld: Labour Party,Daarom bepleit de PvdA selectieve migratie.,Immigration,AGAINST
nld: Labour Party,Het inzetten van illegale werknemers haalt ook de solidariteit van onze sociale verzekeringen en de werking van collectieve arbeidsovereenkomsten onderuit.,Integration,FAVOR
nld: Democrats‘66,Nederland heeft de afgelopen kabinetsperiode een integratiebeleid gevoerd dat gekenmerkt wordt door hardvochtigheid en willekeur.,Integration,AGAINST
nld: Socialist Party,"Als het gaat om de beoordeling van de persoonlijke situatie, ligt de verhouding echter omgekeerd en zijn ‘autochtonen’ meer tevreden.",Integration,NONE
nld: Green Left,"Iemand die is veroordeeld en bestraft in verband met terrorisme, wordt na zijn bestrafﬁng niet uitgesloten van elementaire rechten en voorzieningen.",Integration,AGAINST
nld: Reformed Political Party,deels door de ontwrichtende opmars van de seculiere ideologie.,Integration,AGAINST
nld: Party of Freedom,"Geen toegang van Roemenen en Bulgaren tot de Nederlandse arbeidsmarkt, terugdraaien toegang Polen",Immigration,AGAINST
nld: People’s Party for Freedom and Democracy ,Gelijkwaardigheid  van  alle mensen  is  daarbij  de  belangrijkste  norm.,Integration,FAVOR
nld: Christian Union,De acceptatieplicht is een vorm van symboolpolitiek die iets anders bereikt dan wat de partijen zeggen te willen bereiken.,Integration,FAVOR
nld: Labour Party,Slechte huisvesting zet volwassenen en kinderen op een achterstand.,Integration,FAVOR
nld: Green Left,Migranten afkomstig uit landen zonder oudedagsvoorziening die geen volledige AOW hebben opgebouwd in Nederland krijgen alsnog recht op een volledige AOW.,Integration,FAVOR
nld: Christian Democratic Appeal,2.3.10 Alleenstaande minderjarige vreemdelingen moeten zoveel mogelijk worden herenigd met hun ouders of familie in het land van herkomst.,Immigration,AGAINST
nld: Labour Party,Een eerlijke verdeling van lusten en lasten.,Integration,FAVOR
nld: Socialist Party,"Verplichte taaltrajecten voor uitkeringsgerechtigden horen flexibel te zijn, zodat mensen die werk vinden, door kunnen gaan met Nederlands leren.",Integration,FAVOR
nld: Christian Democratic Appeal,2.3.4 De voorstellen voor verbetering van de asielprocedure en het terugdringen van herhaalde aanvragen worden voortvarend ingevoerd.,Immigration,FAVOR
nld: Green Left,"Mensen die de Nederlandse nationaliteit krijgen, hoeven hun oude niet op te geven.",Integration,FAVOR
nld: Christian Union,Moslimjongeren die zich deel voelen van onze maatschappij en zich voluit opgenomen weten in onze samenleving zullen meer weerbaar zijn tegen radicalisering en rekrutering voor de jihad.,Integration,AGAINST
nld: Christian Union,De overheid biedt asielzoekers in procedure in Nederland opvang aan.,Immigration,FAVOR
nld: Christian Union,Naast de eerder genoemde bescherming in de eigen regio blijft er ook een verantwoordelijkheid voor vluchtelingenbescherming in Nederland.,Immigration,FAVOR
nld: Reformed Political Party,Het mag echt niet langer gebeuren dat asielzoekersgezinnen die niet kunnen terugkeren op straat worden gezet.,Immigration,AGAINST
nld: Christian Union,Tegelijk is veel integratiebeleid versmald tot islambeleid dat via de moskee wordt uitgevoerd.,Integration,AGAINST
nld: Labour Party,"Het voelt als een tijdbom, waarbij het kabinet vooral heeft uitgeblonken in harde woorden terwijl de resultaten uitbleven.",Integration,AGAINST
nld: Labour Party,"Een werknemer die zijn baan verliest, is niet geholpen met het feit dat Nederland als geheel aan de economische integratie verdient.",Integration,AGAINST
nld: Socialist Party,De allochtone middenklasse groeit.,Integration,FAVOR
nld: Party of Freedom,"Kinderen leren nu over hoe mooi de islam is en dat het een verrijking is van Nederland, maar wat de Tachtigjarige Oorlog was, is hen onbekend.",Integration,AGAINST
nld: Christian Democratic Appeal,We zien onder immigranten veel nieuw onder-nemerschap ontstaan.,Integration,FAVOR
