party,content,target,stance
nor: Socialist Left Party,En forutsetning for en vellykket integrasjon i et flerkulturelt samfunn er gjensidig tillit og respekt.,Integration,FAVOR
nor: Socialist Left Party,SV mener det skal ligge svært tungtveiende hensyn til grunn dersom det innføres begrensninger i retten til å bære slike.,Integration,FAVOR
nor: Christian People’s Party,og integrering av minoritetsspråklige.,Integration,FAVOR
nor: Norwegian Labour Party,"Når man diskriminerer taper ikke bare den som utsettes for det, men også samfunnet og fellesskapet fordi talenter og evner ikke blir brukt.",Integration,FAVOR
nor: Centre Party,Bruke kollektiv beskyttelse og tilbakesending bare i tilfeller av massiv flukt,Immigration,AGAINST
nor: Socialist Left Party,"Målet er et romslig samfunn der alle opplever at de blir vurdert som enkeltindivider, uansett tro, etnisitet eller kulturell bakgrunn.",Integration,FAVOR
nor: Norwegian Labour Party,Omstilling og effektivisering skal ikke gå på bekostning av arbeidstakernes rettigheter og arbeidsmiljø.,Integration,FAVOR
nor: Socialist Left Party,"Svært mange med minoritetsbakgrunn har opplevd rasisme eller diskriminering i arbeidslivet, på boligmarkedet eller i nærmiljøet.",Integration,FAVOR
nor: Socialist Left Party,"Det må derfor være rom for forskjell i levemåter, religioner og kultur.",Integration,FAVOR
nor: Socialist Left Party,"rett til morsmål,",Integration,FAVOR
nor: Progress Party,"Individuelle  krav som måtte oppstå hos innvandrerne i  forhold til offentlige tjenester, som følge av  religion, botid, kulturelle eller etniske forhold, vil den enkelte selv måtte dekke på  samme måte som for norske borgere.",Integration,AGAINST
nor: Liberal Party,Senke terskelen for å få asyl på grunn av kjønnsrelatert forfølgelse.,Immigration,FAVOR
nor: Progress Party,For å sikre dette må  ulike grupper av innvandrere respektere de  grunnleggende lovreglene og normene som  det norske samfunnet bygger på.,Integration,AGAINST
nor: Christian People’s Party,I et samfunn med større mangfold er det viktig å møte hverandre med gjensidig respekt.,Integration,FAVOR
nor: Christian People’s Party,evaluere endringene i flyktninge- og asylpolitikken og fornye utlendingsloven.,Immigration,NONE
nor: Socialist Left Party,"SV vil derfor foreslå utvidede rammer for lønnsoppgjøret i offentlig sektor, en likelønnspott, for å nå dette målet.",Integration,FAVOR
nor: Progress Party,5.At de som kommer til Norge som  resultat av familiegjenforening ikke  gis rett til ny eller videre familie-gjenforening.,Immigration,AGAINST
nor: Christian People’s Party,"Alle flyktninger bør derfor få tilbud om psykiastrisk vurdering, slik at mulige behov for videre hjelp kan kartlegges.",Immigration,FAVOR
nor: Christian People’s Party,"Samfunnet må legge til rette for en god kontakt, dialog og sameksistens mellom ulike religioner og kulturer.",Integration,FAVOR
nor: Christian People’s Party,KrF vil arbeide for at disse arbeidstakerne har samme betingelser som norske arbeidstakere og vil motarbeide sosial dumping.,Integration,FAVOR
nor: Norwegian Labour Party,. Slik regulering skal ikke begrense disse arbeidstakernes rett til å søke arbeid i andre land,Integration,FAVOR
nor: Centre Party,". Nye innbyggere må selv, ut fra egne forutsetninger, bidra med en stor innsats for å bli inkludert i samfunnslivet gjennom å lære språket, og gjennom deltakelse på viktige fellesskapsarenaer som arbeid, organisasjonsliv og utdanning",Integration,AGAINST
nor: Centre Party,sikre tilbudet om morsmålsundervisning til elever med minoritetsbakgrunn.,Integration,FAVOR
nor: Christian People’s Party,styrke støtteapparatet rundt flyktninger og asylsøkere for å sikre dem hensiktsmessig hjelp.,Immigration,FAVOR
nor: Liberal Party,Innføre et «kjærestevisum».,Immigration,FAVOR
nor: Christian People’s Party,"Sentrale boligvirkemidler som bostøtte, startlån og boligtilskudd må gjøre det mulig både å skaffe seg og beholde sin egen bolig",Integration,FAVOR
nor: Christian People’s Party,. Arbeidsinnvandringen  har skapt økende utfordringer for arbeidet med å hindre sosial dumping,Integration,FAVOR
nor: Christian People’s Party,KrF mener at FNs høykommisær for flyktningers (UNHCRs) retningslinjer om religionsforfølgelse må nedfelles i forskrifter og legges til grunn ved behandlingen av saker hvor beskyttelse påberopes på grunn av religiøs forfølgelse,Integration,FAVOR
nor: Socialist Left Party,Situasjonen for flyktninger og asylsøkere på mottak må forbedres.,Immigration,FAVOR
nor: Centre Party,. Ventetida på asylmottak må gjøres kortest mulig,Immigration,FAVOR
nor: Norwegian Labour Party,"gi Utlendingsdirektoratet innsyn i strafferegisteret, slik at kvinner kan opplyses om at ektefelle er dømt for vold eller utukt.",Immigration,FAVOR
nor: Socialist Left Party,"Fem folkegrupper fikk i 1999 status som nasjonale minoriteter – jøder, kvener, rom, romani og skogfinner – alle med langvarig tilhold i landet vårt og med en særegen historie og kultur.",Integration,NONE
nor: Christian People’s Party,Opphold på humanitært grunnlag gis til personer som har behov for internasjonal beskyttelse eller når sterke menneskelige hensyn taler for at de bør få bli i landet.,Immigration,FAVOR
nor: Socialist Left Party,"SV vil også styrke det holdningsskapende arbeidet mot kjøp av sex, med fokus på skadevirkninger av prostitusjon.",Integration,FAVOR
nor: Progress Party,". det må legges vekt på at alle som har lovlig opphold i norge, skal være sikret en rettferdig behandling",Integration,FAVOR
nor: Centre Party,Bruken av midlertidige ansettelser og inn- og utleie av arbeidskraft bør begrenses.,Immigration,AGAINST
nor: Centre Party,"La alle skuleelevar møte både nynorsk og bokmål og dei norske minoritetsspråka tidleg i barneskulen, og i ei moderne form, for å førebyggje fordomar og vise til dømes nynorsk og samisk som moderne bruksspråk",Integration,FAVOR
nor: Norwegian Labour Party,engasjere oss aktivt på europeisk plan for å hindre at EUs nye tjenestedirektiv svekker muligheten til å håndheve nasjonale lønns- og arbeidsvilkår.,Immigration,AGAINST
nor: Conservative Party,Høyre mener at norsk asyl- og flyktningepolitikk må samsvare med EUs politikk på dette området.,Immigration,FAVOR
nor: Liberal Party,Dette innebærer f.eks. at det er spesielt viktig at minoritetene oppmuntres til å delta i dugnadsbasert arbeid som er nedarvet i den norske folkekulturen.,Integration,FAVOR
nor: Progress Party,Fremskrittspartiet mener at opplærings-lovens bestemmelser brytes dersom barn av  innvandrere bosatt i Norge sendes til inn-vandrerforeldrenes opprinnelige hjemland  eller hjemregion for å få grunnskoleopplæring  og vil gjøre lovverket tydeligere og strengere  på dette punktet.,Integration,AGAINST
nor: Socialist Left Party,"Det er et valg for venstresida, mot høyresida, både nasjonalt og internasjonalt.",Integration,FAVOR
nor: Liberal Party,Derfor vil Venstre åpne for arbeidsinnvandring også fra land utenfor EU-området.,Immigration,FAVOR
nor: Socialist Left Party,"Trakassering, rasisme og vold rettet mot etniske og religiøse minoriteter må bekjempes aktivt, blant annet ved at politiet følger nøye med i utviklingen i de høyreekstreme miljøene.",Integration,FAVOR
nor: Christian People’s Party,", og gjøre det mulig å tilby grupper med språkutfordringer gratis kjernetid i barnehage.",Integration,FAVOR
nor: Christian People’s Party,Dette kan ofte være spesielt viktig for flerkulturelle familier.,Integration,FAVOR
nor: Centre Party,Dessuten vil ikke Norge lenger kunne føre en sjølstendig flyktning- og asylpolitikk.,Immigration,AGAINST
nor: Socialist Left Party,Staten må bidra med midler til dette arbeidet.,Integration,FAVOR
nor: Norwegian Labour Party,Integrering er en toveis prosess.,Integration,FAVOR
nor: Centre Party,For den enkelte trenger ikke flytting til sentrum være noe problem.,Immigration,FAVOR
nor: Conservative Party,", og samarbeidet om returavtaler med andre asylmottakerland må styrkes.",Immigration,AGAINST
nor: Centre Party,"Støtte tiltak som gir hjemmearbeidende kvinner bedre mulighet til å lære seg norsk språk, -samfunnsliv og verdisett.",Integration,FAVOR
nor: Socialist Left Party,"Vi ønsker å bedre rekrutteringen av kunstnere med minoritetsbakgrunn til blant annet de nasjonale kulturinstitusjonene,",Integration,FAVOR
nor: Christian People’s Party,. Det må legges til rette for et fleksibelt og mangfoldig barnehagetilbud av god kvalitet til alle som ønsker det,Integration,FAVOR
nor: Progress Party,"Skolen har en svært viktig funksjon i arbeidet med integrering av innvandrere,  asylsøkere og flyktninger.",Integration,FAVOR
nor: Socialist Left Party,sørge for at folkeopplysningstradisjonen både som pedagogisk og demokratiserende virkemiddel får gode rammevilkår.,Integration,FAVOR
nor: Socialist Left Party,". Vi vil bekjempe alle former for diskriminering på bakgrunn av kjønn, hudfarge, etnisk tilhørighet, religion, nedsatt funksjonsevne, seksuell orientering, kjønnsuttrykk og status for øvrig.",Integration,FAVOR
nor: Conservative Party,Mennesker fra andre land og kulturer bidrar positivt i det norske samfunn gjennom arbeid og ved å tilføre samfunnet nye impulser.,Integration,FAVOR
nor: Socialist Left Party,. Også minoritetsspråkene i Norge må få høyere status i det offentlige rom.,Integration,FAVOR
nor: Socialist Left Party,". SV vil arbeide for at denne diskrimineringen opphører, blant annet gjennom kvotering",Integration,FAVOR
nor: Norwegian Labour Party,kompetansen i mottakene,Integration,NONE
nor: Conservative Party,o ppheve rasismeparagrafen når en ny universell antidiskrimineringslov er på plass.,Integration,FAVOR
nor: Norwegian Labour Party,". Mange møter diskriminering i arbeidslivet på grunn av kjønn, alder eller etnisk tilhørighet",Integration,FAVOR
nor: Liberal Party,La olje- og energipolitikken inngå som en del av utenriks- og ut -viklingspolitikken.,Immigration,NONE
nor: Progress Party,at de som k    ommer til Norge som resultat av familieinnvandring ikke gis rett til ny eller videre familieinnvandring,Immigration,AGAINST
nor: Conservative Party,o ppheve boplikten.,Integration,FAVOR
nor: Christian People’s Party,åpne for at asylsøkere skal få arbeidstillatelse dersom de får jobb,Integration,FAVOR
nor: Christian People’s Party,arbeide målrettet med de personene som har opplevd vold og kriminalitet.,Integration,FAVOR
nor: Norwegian Labour Party,". Vi mener kampen mot dobbeltdiskriminering er en del av vår felles kvinnekamp, og vil vie dette oppmerksomhet.",Integration,FAVOR
nor: Centre Party,Redusere omfanget av særaldersgrenser.,Integration,FAVOR
nor: Socialist Left Party,"SV vil skape møteplasser mellom majoritets– og minoritetskulturer, og øke støtten til aktører på det flerkulturelle feltet.",Integration,FAVOR
nor: Christian People’s Party,og omfatter alle grupper og mennesker som lever i vår generasjon og de kommende generasjoner.,Integration,FAVOR
nor: Socialist Left Party,"Mange kvinner med minoritetsbakgrunn har store problemer med å få arbeid, samtidig som arbeid  er nøkkelen til økt økonomisk uavhengighet, bedre språkforståelse og sterkere sosiale nettverk.",Integration,FAVOR
nor: Socialist Left Party,"Svært mange flykter til naboland, og noen få flyktninger havner i de rike landene.",Immigration,AGAINST
nor: Conservative Party,". de som får norsk statsborgerskap, har bodd i norge i flere år.",Integration,AGAINST
nor: Liberal Party,At asylsøkere kan «skifte kø» fra søknad om asyl til søknad om  opphold på grunn av arbeid.,Immigration,FAVOR
nor: Progress Party,"Etter Fremskrittspartiets mening er det en  klar forutsetning at flyktninger og asyl-søkere som har fått oppholdstillatelse i  Norge, skal reise hjem til sine respektive  hjemland når forholdene gjør det forsvarlig.",Immigration,AGAINST
nor: Socialist Left Party,"Likeverdige muligheter står i skarp kontrast til høyresidas frihetsbegrep, som innebærer frihet for enkelte på bekostning av andre.",Integration,FAVOR
nor: Norwegian Labour Party,"Her har vi forpliktet oss til å ta imot et visst antall kvoteflyktninger gjennom FN, i tillegg til de som søker opphold på individuelt grunnlag.",Immigration,FAVOR
nor: Norwegian Labour Party,Vi vil bekjempe forskjellsbehandling og fordommer og dermed gi nye nordmenn det beste grunnlaget for å delta i samfunnet.,Integration,FAVOR
nor: Liberal Party,Arbeid og egen forsørgelse bør være et hovedprinsipp for alle innvandrere som kommer til Norge.,Integration,FAVOR
nor: Centre Party,Kampen mot terror må derfor ikke bare ha fokus på hvilken straffe- og utlendingslovgivning vi skal ha.,Immigration,AGAINST
nor: Conservative Party,Høyre vil fjerne overgangsordningene for borgere fra de nye EU-landene.,Immigration,FAVOR
nor: Liberal Party,"Likestillingspolitikken for nynorsk og bokmål må fortsette, også når nye medier og ny teknologi tas i bruk.",Integration,FAVOR
nor: Conservative Party,gjentatte brudd på meldeplikten  må  kunne  føre  til  forvaring.,Immigration,AGAINST
nor: Christian People’s Party,"gi alle nye innvandrere obligatorisk norsk- og samfunnsopplæring, både om hvilke rettigheter og hvilke plikter innbyggere i Norge har.",Integration,FAVOR
nor: Conservative Party,"I tråd med dette må innvandrerne utfordres til å bidra positivt gjennom arbeidsinnsats, kulturformidling og samfunnsdeltagelse.",Integration,FAVOR
nor: Centre Party,gjennomgå reglene for familiegjenforening og ekteskapsoppløsning.,Immigration,FAVOR
nor: Liberal Party,"Å lære språket er nødvendig for å leve, virke og delta aktivt i et samfunn.",Integration,FAVOR
nor: Christian People’s Party,"Barn og unge må motiveres til å bidra til aktiv kamp mot vold, rus, rasisme, diskriminering og mobbing.",Integration,FAVOR
nor: Centre Party,Gi folk mulighet til å få statsborgerskap etter fem år ved bestått samfunns- og språktest,Integration,AGAINST
nor: Norwegian Labour Party,"Mennesker på flukt risikerer fengsel, tortur og kanskje død på grunn av sine meninger eller sin stilling i samfunnet.",Immigration,FAVOR
nor: Christian People’s Party,at alle nyankomne flyktninger skal få tilbud om en flyktningguide i sitt nærmiljø som kan bidra til et enklere møte med norske myndigheter og den norske befolkning.,Immigration,FAVOR
nor: Christian People’s Party,. Det bør blant annet bli mulig å søke om arbeidstillatelse fra Norge for kvalifiserte utenlandske arbeidssøkere som allerede befinner seg her.,Immigration,FAVOR
nor: Progress Party,. det skal ikke være noen forskjellsbehandling basert på etnisk tilhørighet,Integration,FAVOR
nor: Socialist Left Party,"For å unngå at land føler seg tvunget til innstramminger i flyktningpolitikken og rettssikkerheten til mennesker på flukt, må Norge arbeide for en internasjonal flyktningdomstol.",Immigration,FAVOR
nor: Liberal Party,"Arrangering av musikk- og kulturfestivaler, spel og andre større kulturarrangement fører til levende samfunn, engasjement, næringsvirksomhet og utvikling av talent og  kompetanse.",Integration,FAVOR
nor: Centre Party,Det må gis tilbud om mottaksplass og minimumsstønad til livsopphold inntil slik uttransportering finner sted.,Immigration,FAVOR
nor: Norwegian Labour Party,foreta en bred gjennomgang av språkopplæringen til minoritetsspråklige.,Integration,FAVOR
nor: Conservative Party,"Høyre vil føre en innvandringspolitikk der innvandrere, asylsøkere og flyktninger er ressurser,",Immigration,FAVOR
nor: Norwegian Labour Party,. Vi bygger vår flyktningog asylpolitikk på internasjonale rettsprinsipper uttrykt gjennom menneskerettighetserklæringen og flyktningkonvensjonen,Immigration,FAVOR
nor: Centre Party,. Det er viktig med stabilitet i forholdet til det vedtatte lovverket og at det er en forutsigbar praksis,Immigration,NONE
nor: Norwegian Labour Party,forenkle og effektivisere godkjenningsprosedyrer for utdanning tatt i utlandet.,Integration,FAVOR
nor: Christian People’s Party,Kunnskap og kompetanse hos innvandrere må utnyttes bedre. Et flerkulturelt samfunn er en berikelse.,Integration,FAVOR
nor: Socialist Left Party,"SV vil innføre kvotering av minoritetsspråklige arbeidssøkere ved ansettelser i offentlig sektor,",Integration,FAVOR
nor: Socialist Left Party,Lik rett til utdanning er et grunnprinsipp i en solidarisk kunnskapspolitikk,Integration,FAVOR
nor: Norwegian Labour Party,". Vi vil at grupper og individer med annen kulturbakgrunn skal ha de samme muligheter, rettigheter, plikter og ansvar som flertallet",Integration,FAVOR
nor: Christian People’s Party,Innvandrer: Innvandrerbegrepet avgrenset til å gjelde utenlandsfødte personer med to utenlandsfødte foreldre.,Immigration,NONE
nor: Liberal Party,Venstre mener Norge må øke sin ﬂyktningekvote slik at vi tar vår del av ansvaret ovenfor mennesker på ﬂukt.,Immigration,FAVOR
nor: Progress Party,I likhet med Fremskrittspartiet etterlyser  også mange utlendinger en strengere og  mer konsekvent kriminalpolitikk.,Integration,AGAINST
nor: Christian People’s Party,"Alle mennesker, uavhengig av kjønn og etnisk bakgrunn, skal ha like muligheter, rettigheter og plikter i forhold til deltakelse i samfunnet.",Integration,FAVOR
nor: Progress Party,"Under  enhver omstendighet må særkostnader  som måtte oppstå basert på individuelle  krav, dekkes av den enkelte selv dersom  kravet har sitt utspring i kultur, etnisk bakgrunn eller religion.",Integration,AGAINST
nor: Centre Party,Alle som søker om opphold i Norge har også et eget ansvar for å lære norsk..,Integration,AGAINST
nor: Christian People’s Party,"motarbeide diskriminering i arbeidslivet ved å foreslå aktivitetsplikt for arbeidsgivere i diskrimineringsloven, bruke lønnstilskudd overfor kvalifiserte personer med minoritetsbakgrunn.",Integration,FAVOR
nor: Socialist Left Party,og vil pålegge all offentlig virksomhet å ha rekrutteringsplaner for personer med minoritetsbakgrunn.,Integration,FAVOR
nor: Christian People’s Party,legge til rette for økt bosetting i kommunene,Immigration,FAVOR
nor: Progress Party,Innvandrerforeldre har et særlig ansvar for at  opplæringsplikten i opplæringsloven for barn  og unge til grunnskoleopplæring følges og at  norsk skole i Norge velges.,Integration,FAVOR
nor: Progress Party,og innvandringsstoppen håndheves effektivt,Immigration,AGAINST
nor: Socialist Left Party,". Et slikt samfunn må legge til rette for at alle får samme mulighet til livsutfoldelse, arbeid og deltakelse.",Integration,FAVOR
nor: Socialist Left Party,Deres historie og situasjon skal representeres i skolen og andre institusjoner som bærer kulturarv.,Integration,FAVOR
nor: Socialist Left Party,"Handel med mennesker, særlig kvinner og barn til pornoog prostitusjonsindustrien, er en av verdens mest innbringende industrier.",Immigration,NONE
nor: Progress Party,3.At Norge hvert år maksimalt skal  motta til sammen 1 000 mennesker  fra land utenfor den vestlige kultur-krets.,Immigration,AGAINST
nor: Centre Party,Innføre et tilknytningskrav for familieetablering,Integration,AGAINST
nor: Socialist Left Party,Staten må sikre rimelige levekår for dem som av ulike grunner ikke kan sendes tilbake.,Integration,FAVOR
nor: Centre Party,". Vi vet at det stadig vekk finnes lokalsamfunn der barn blir mobbet, der kvinner opplever overgrep, der funksjonshemmede ikke kan delta på like fot med andre, og der flyktninger og innvandrere ikke blir tatt med i samfunns- og arbeidsliv",Integration,FAVOR
nor: Centre Party,. For å ivareta folks alminnelige rettsoppfatning må lovverket styrkes når det gjelder å håndtere utlendinger som representerer en sikkerhetsrisiko eller utgjør en fare for samfunnet eller enkeltpersoner.,Immigration,AGAINST
nor: Progress Party,Det er også viktig å bedre kontrollen ved  familiegjenforeninger.,Immigration,AGAINST
nor: Conservative Party,. høyre ønsker et mangfoldig og variert kulturliv hvor flest mulig får anledning til å delta og bidra.,Integration,FAVOR
nor: Progress Party,oppheve diskrimineringen mellom foreldre ved samlivsbrudd,Integration,FAVOR
nor: Conservative Party,stramme inn på mulighetene til å trenere saker.,Integration,AGAINST
nor: Christian People’s Party,gi tilbud om gratis norskundervisning i asylmottakene.,Integration,FAVOR
nor: Christian People’s Party,"styrke NRKs rolle som reklamefri allmennkringkaster og motvekt mot de kommersielle kanalene, og sikre NRK et godt økonomisk fundament.",Integration,FAVOR
nor: Progress Party,"Fremskrittspartiet mener at Norge bør være  engasjert i å hjelpe flyktninger, men mener  at de best kan hjelpes i sine geografiske og  kulturelle nærområder.",Immigration,AGAINST
nor: Progress Party,"Unntatt fra dette  er overføringsflyktninger (kvoteflyktninger)  og de som omtales i avsnittet om arbeids-markedet, samt familiemedlemmer som  omfattes av reglene om familiegjenforening.",Immigration,AGAINST
nor: Norwegian Labour Party,Likevel er alle mennesker like mye verdt.,Integration,FAVOR
nor: Christian People’s Party,"Et samfunn der mennesker med ulike kulturell bakgrunn og tradisjon lever sammen, er en berikelse både mellommenneskelig og for nasjonen.",Integration,FAVOR
nor: Conservative Party,Forsøk med gratis korttidsbarnehage for fire- og femåringer har gitt gode resultater.,Integration,FAVOR
nor: Norwegian Labour Party,Det er i dag millioner av flyktninger i verden i eksil.,Immigration,NONE
nor: Liberal Party,Innføre meldeplikt for dem som i dag har en plikt til å avverge  kjønnslemlestelse.,Integration,FAVOR
nor: Liberal Party,I tillegg bør ofre for menneskehandel følges aktivt opp ved retur til hjemlandet.,Immigration,AGAINST
nor: Centre Party,". Det er viktig at asylinstituttets legitimitet i befolkningen ivaretas ved at det i praksis beskytter dem som har behov for beskyttelse, og ikke misbrukes for andre formål",Immigration,AGAINST
nor: Progress Party,"8.At flyselskaper som bringer asyl-søkere uten identitetspapirer til  Norge, bøtelegges og pålegges å  returnere asylsøkerne.",Immigration,AGAINST
nor: Christian People’s Party,Det er viktig å legge til rette for at ulike religioner og kulturer får leve side om side med gjensidig respekt.,Integration,FAVOR
nor: Norwegian Labour Party,. Derfor må vi bygge ned barrierene for deltakelse,Integration,FAVOR
nor: Norwegian Labour Party,". Internasjonalt samarbeid, byrdefordeling og bistand til land i konflikt er derfor viktig",Immigration,AGAINST
nor: Centre Party,"Deltakelse og ansvar er viktig både for at samfunnet skal kunne nyttiggjøre seg alle ressurser i befolkningen,",Integration,FAVOR
nor: Liberal Party,og for friere og mindre byråkratisk arbeidsinnvandring til Norge.,Immigration,FAVOR
nor: Progress Party,"Fremskrittspartiet vil at enhver avgitt stemme ved stortingsvalg skal telle likt, uten hensyn til hvor i landet den er avgitt",Integration,FAVOR
nor: Progress Party,med innvandrere forstår vi personer som kommer til norge for å søke langvarig opphold,Immigration,NONE
nor: Christian People’s Party,"styrke formidlingen av smale kulturuttrykk, folkekultur og minoritetskultur.",Integration,FAVOR
nor: Progress Party,"Fremskrittspartiet ønsker lik behandling av  nordmenn og innvandrere,",Integration,FAVOR
nor: Socialist Left Party,", og arbeidet med å rekruttere søkere med minoritetsbakgrunn må forsterkes.",Integration,FAVOR
nor: Liberal Party,Norge er et flerkulturelt samfunn,Integration,FAVOR
nor: Norwegian Labour Party,at siviltjenesten må gjøres mer fredsrelevant og kompetansebyggende.,Immigration,FAVOR
nor: Liberal Party,"Derfor må det være samfunnets ansvar å sørge for at alle innbyggere har grunnleggende rett til og mulighet for norskopplæring, også for innvandrerkvinner utenfor arbeidslivet.",Integration,FAVOR
nor: Centre Party,.  Arbeidsinnvandringen krever også at myndighetene holder et våkent øye på lønns- og arbeidsvilkårene i de mest aktuelle bransjene for å hindre sosial dumping,Immigration,FAVOR
nor: Socialist Left Party,Å søke asyl er en menneskerett,Immigration,FAVOR
nor: Conservative Party,", men samtidig er det viktig å ha politisk kontroll over utviklingen av regelverket på utlendingsområdet.",Immigration,AGAINST
nor: Socialist Left Party,"Noen barn og ungdommer med minoritetsbakgrunn har problemer på skolen, blant annet fordi de ikke kan godt nok norsk",Integration,FAVOR
nor: Christian People’s Party,"Utfordringen i forhold til kriminalitet blant ungdom med minoritetsbakgrunn må tas på alvor, men KrF vil gå sterkt imot stempling av grupper på bakgrunn av enkelttilfeller.",Integration,AGAINST
nor: Christian People’s Party,og samtidig sikre kommunene full utgiftsdekning.,Immigration,FAVOR
nor: Christian People’s Party,eller utvanning av arbeidsmiljøreglene.,Integration,FAVOR
nor: Norwegian Labour Party,". Vi vil oppmuntre til mangfold, og bekjempe all diskriminering i arbeidslivet",Integration,FAVOR
nor: Liberal Party,Språk og gjensidig kulturforståelse er nøkkelen til integrering.,Integration,FAVOR
nor: Norwegian Labour Party,Samisk språk er i en truet stilling i Norge,Integration,NONE
nor: Norwegian Labour Party,". Arbeiderpartiet vil styrke arbeidet for de ulike samiske språkene i Norge, særlig gjennom å styrke Sametingets og kommunenes ansvar og rammebetingelser for å kunne øke antallet samiske språkbrukere, slik at samisk språk har en sikker framtid i Norge",Integration,FAVOR
nor: Centre Party,Dette må skje i et tett og forpliktende samarbeid med kommunene.,Integration,FAVOR
nor: Socialist Left Party,en sosial boligpolitikk,Integration,FAVOR
nor: Centre Party,. Informasjon til foreldrene er svært viktig for at barna skal få lov og mulighet til å delta,Integration,FAVOR
nor: Socialist Left Party,og innsatsen for voksenopplæring og etter– og videreutdanning for personer med minoritetsbakgrunn må styrkes.,Integration,FAVOR
